benchmark,expansion,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit,,,
Binary,1,624.144,247,0,1600,16,FulcrumInner,624.144,encoder,MB/s,,,
Binary,1,625.193,247,1,1600,16,FulcrumInner,625.193,encoder,MB/s,,,
Binary,1,624.884,247,2,1600,16,FulcrumInner,624.884,encoder,MB/s,,,
Binary,1,597.261,247,3,1600,16,FulcrumInner,597.261,encoder,MB/s,,,
Binary,1,618.104,247,4,1600,16,FulcrumInner,618.104,encoder,MB/s,,,
Binary,2,572.469,231,0,1600,16,FulcrumInner,572.469,encoder,MB/s,,,
Binary,2,597.546,234,1,1600,16,FulcrumInner,597.546,encoder,MB/s,,,
Binary,2,602.894,236,2,1600,16,FulcrumInner,602.894,encoder,MB/s,,,"20 cases: FulcrumInner, Encoder, symbols 16"
Binary,2,599.127,236,3,1600,16,FulcrumInner,599.127,encoder,MB/s,,,
Binary,2,602.562,237,4,1600,16,FulcrumInner,602.562,encoder,MB/s,,,
Binary,3,551.671,225,0,1600,16,FulcrumInner,551.671,encoder,MB/s,,,
Binary,3,562.665,225,1,1600,16,FulcrumInner,562.665,encoder,MB/s,,,
Binary,3,574.116,227,2,1600,16,FulcrumInner,574.116,encoder,MB/s,,,
Binary,3,571.181,227,3,1600,16,FulcrumInner,571.181,encoder,MB/s,,,
Binary,3,577.999,227,4,1600,16,FulcrumInner,577.999,encoder,MB/s,,,
Binary,4,529.193,213,0,1600,16,FulcrumInner,529.193,encoder,MB/s,,,
Binary,4,552.445,218,1,1600,16,FulcrumInner,552.445,encoder,MB/s,,,
Binary,4,553.596,218,2,1600,16,FulcrumInner,553.596,encoder,MB/s,,,
Binary,4,555.469,218,3,1600,16,FulcrumInner,555.469,encoder,MB/s,,,
Binary,4,556.966,218,4,1600,16,FulcrumInner,556.966,encoder,MB/s,,,
Binary,1,1604.66,645,0,1600,16,FulcrumInner,1704.96,decoder,MB/s,,,
Binary,1,1287.99,645,1,1600,16,FulcrumInner,1851.48,decoder,MB/s,,,
Binary,1,1574.82,645,2,1600,16,FulcrumInner,1673.25,decoder,MB/s,,,
Binary,1,1627.6,645,3,1600,16,FulcrumInner,1729.32,decoder,MB/s,,,
Binary,1,1541.45,645,4,1600,16,FulcrumInner,1830.47,decoder,MB/s,,,
Binary,2,1334.93,565,0,1600,16,FulcrumInner,1668.67,decoder,MB/s,,,
Binary,2,1436.2,565,1,1600,16,FulcrumInner,1705.49,decoder,MB/s,,,
Binary,2,1187.91,565,2,1600,16,FulcrumInner,1707.62,decoder,MB/s,,,
Binary,2,1308.37,565,3,1600,16,FulcrumInner,1880.78,decoder,MB/s,,,
Binary,2,1204.13,565,4,1600,16,FulcrumInner,1655.68,decoder,MB/s,,,
Binary,3,1280,519,0,1600,16,FulcrumInner,1520,decoder,MB/s,,,
Binary,3,1293.71,519,1,1600,16,FulcrumInner,1617.14,decoder,MB/s,,,
Binary,3,1272.4,519,2,1600,16,FulcrumInner,1590.5,decoder,MB/s,,,
Binary,3,1249.43,519,3,1600,16,FulcrumInner,1639.87,decoder,MB/s,,,
Binary,3,1290.19,519,4,1600,16,FulcrumInner,1612.74,decoder,MB/s,,,
Binary,4,1084.02,432,0,1600,16,FulcrumInner,1490.53,decoder,MB/s,,,
Binary,4,950.642,480,1,1600,16,FulcrumInner,1544.79,decoder,MB/s,,,
Binary,4,1163.2,480,2,1600,16,FulcrumInner,1526.69,decoder,MB/s,,,
Binary,4,1061.01,492,3,1600,16,FulcrumInner,1525.2,decoder,MB/s,,,
