benchmark,expansion,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit
Binary,1,592.742,238,0,1600,16,FulcrumInner,592.742,encoder,MB/s
Binary,1,610.066,241,1,1600,16,FulcrumInner,610.066,encoder,MB/s
Binary,1,608.755,245,2,1600,16,FulcrumInner,608.755,encoder,MB/s
Binary,1,598.359,245,3,1600,16,FulcrumInner,598.359,encoder,MB/s
Binary,1,619.457,245,4,1600,16,FulcrumInner,619.457,encoder,MB/s
Binary,2,564.343,229,0,1600,16,FulcrumInner,564.343,encoder,MB/s
Binary,2,588.623,230,1,1600,16,FulcrumInner,588.623,encoder,MB/s
Binary,2,584.301,230,2,1600,16,FulcrumInner,584.301,encoder,MB/s
Binary,2,561.083,230,3,1600,16,FulcrumInner,561.083,encoder,MB/s
Binary,2,556.522,231,4,1600,16,FulcrumInner,556.522,encoder,MB/s
Binary,3,545.269,217,0,1600,16,FulcrumInner,545.269,encoder,MB/s
Binary,3,560.927,227,1,1600,16,FulcrumInner,560.927,encoder,MB/s
Binary,3,565.952,227,2,1600,16,FulcrumInner,565.952,encoder,MB/s
Binary,3,578.344,227,3,1600,16,FulcrumInner,578.344,encoder,MB/s
Binary,3,572.814,227,4,1600,16,FulcrumInner,572.814,encoder,MB/s
Binary,4,501.577,205,0,1600,16,FulcrumInner,501.577,encoder,MB/s
Binary,4,544.734,217,1,1600,16,FulcrumInner,544.734,encoder,MB/s
Binary,4,548.824,217,2,1600,16,FulcrumInner,548.824,encoder,MB/s
Binary,4,540.442,217,3,1600,16,FulcrumInner,540.442,encoder,MB/s
Binary,4,550.129,217,4,1600,16,FulcrumInner,550.129,encoder,MB/s
Binary,1,1330,528,0,1600,16,FulcrumInner,1745.63,decoder,MB/s
Binary,1,1397.64,657,1,1600,16,FulcrumInner,1659.7,decoder,MB/s
Binary,1,1544.89,657,2,1600,16,FulcrumInner,1641.44,decoder,MB/s
Binary,1,1471.62,657,3,1600,16,FulcrumInner,1747.55,decoder,MB/s
Binary,1,1506.96,657,4,1600,16,FulcrumInner,1695.33,decoder,MB/s
Binary,2,1270.33,578,0,1600,16,FulcrumInner,1667.31,decoder,MB/s
Binary,2,1352.54,578,1,1600,16,FulcrumInner,1606.14,decoder,MB/s
Binary,2,1368.05,578,2,1600,16,FulcrumInner,1539.05,decoder,MB/s
Binary,2,1473.71,582,3,1600,16,FulcrumInner,1750.03,decoder,MB/s
Binary,2,1194.61,582,4,1600,16,FulcrumInner,1791.92,decoder,MB/s
Binary,3,1219.41,487,0,1600,16,FulcrumInner,1448.04,decoder,MB/s
Binary,3,1241.01,487,1,1600,16,FulcrumInner,1473.7,decoder,MB/s
Binary,3,1005.58,487,2,1600,16,FulcrumInner,1508.37,decoder,MB/s
Binary,3,1130.74,500,3,1600,16,FulcrumInner,1554.77,decoder,MB/s
Binary,3,1240.43,500,4,1600,16,FulcrumInner,1550.54,decoder,MB/s
Binary,4,1049.46,437,0,1600,16,FulcrumInner,1508.59,decoder,MB/s
Binary,4,1118.71,481,1,1600,16,FulcrumInner,1398.38,decoder,MB/s
Binary,4,1153.28,481,2,1600,16,FulcrumInner,1513.68,decoder,MB/s
Binary,4,1066.48,481,3,1600,16,FulcrumInner,1533.07,decoder,MB/s
Binary,4,1166.17,481,4,1600,16,FulcrumInner,1530.6,decoder,MB/s
Binary,1,653.66,128,0,1600,32,FulcrumInner,653.66,encoder,MB/s
Binary,1,672.344,132,1,1600,32,FulcrumInner,672.344,encoder,MB/s
Binary,1,664.739,132,2,1600,32,FulcrumInner,664.739,encoder,MB/s
Binary,1,669.878,132,3,1600,32,FulcrumInner,669.878,encoder,MB/s
Binary,1,661.551,132,4,1600,32,FulcrumInner,661.551,encoder,MB/s
Binary,2,603.161,123,0,1600,32,FulcrumInner,603.161,encoder,MB/s
Binary,2,614.76,123,1,1600,32,FulcrumInner,614.76,encoder,MB/s
Binary,2,629.904,124,2,1600,32,FulcrumInner,629.904,encoder,MB/s
Binary,2,632.918,124,3,1600,32,FulcrumInner,632.918,encoder,MB/s
Binary,2,634.563,124,4,1600,32,FulcrumInner,634.563,encoder,MB/s
Binary,3,583.075,116,0,1600,32,FulcrumInner,583.075,encoder,MB/s
Binary,3,607.492,121,1,1600,32,FulcrumInner,607.492,encoder,MB/s
Binary,3,608.446,121,2,1600,32,FulcrumInner,608.446,encoder,MB/s
Binary,3,614.725,121,3,1600,32,FulcrumInner,614.725,encoder,MB/s
Binary,3,603.703,121,4,1600,32,FulcrumInner,603.703,encoder,MB/s
Binary,4,565.155,111,0,1600,32,FulcrumInner,565.155,encoder,MB/s
Binary,4,557.231,111,1,1600,32,FulcrumInner,557.231,encoder,MB/s
Binary,4,587.273,115,2,1600,32,FulcrumInner,587.273,encoder,MB/s
Binary,4,587.69,116,3,1600,32,FulcrumInner,587.69,encoder,MB/s
Binary,4,592.557,116,4,1600,32,FulcrumInner,592.557,encoder,MB/s
Binary,1,844.982,172,0,1600,32,FulcrumInner,924.199,decoder,MB/s
Binary,1,863.952,179,1,1600,32,FulcrumInner,917.949,decoder,MB/s
Binary,1,894.825,179,2,1600,32,FulcrumInner,922.789,decoder,MB/s
Binary,1,876.092,179,3,1600,32,FulcrumInner,930.848,decoder,MB/s
Binary,1,900.187,179,4,1600,32,FulcrumInner,956.448,decoder,MB/s
Binary,2,757.589,151,0,1600,32,FulcrumInner,875.963,decoder,MB/s
Binary,2,734.626,151,1,1600,32,FulcrumInner,941.239,decoder,MB/s
Binary,2,788.844,158,2,1600,32,FulcrumInner,936.753,decoder,MB/s
Binary,2,808.233,158,3,1600,32,FulcrumInner,934.519,decoder,MB/s
Binary,2,808.006,164,4,1600,32,FulcrumInner,883.757,decoder,MB/s
Binary,3,728.314,157,0,1600,32,FulcrumInner,842.113,decoder,MB/s
Binary,3,751.533,157,1,1600,32,FulcrumInner,845.475,decoder,MB/s
Binary,3,784.693,157,2,1600,32,FulcrumInner,907.302,decoder,MB/s
Binary,3,732.228,157,3,1600,32,FulcrumInner,869.521,decoder,MB/s
Binary,3,776.882,157,4,1600,32,FulcrumInner,849.715,decoder,MB/s
Binary,4,741.027,150,0,1600,32,FulcrumInner,833.655,decoder,MB/s
Binary,4,676.473,150,1,1600,32,FulcrumInner,845.591,decoder,MB/s
Binary,4,713.169,154,2,1600,32,FulcrumInner,824.602,decoder,MB/s
Binary,4,762.627,154,3,1600,32,FulcrumInner,857.955,decoder,MB/s
Binary,4,738.415,154,4,1600,32,FulcrumInner,876.868,decoder,MB/s
Binary,1,485.356,48,0,1600,64,FulcrumInner,485.356,encoder,MB/s
Binary,1,488.283,49,1,1600,64,FulcrumInner,488.283,encoder,MB/s
Binary,1,488.95,49,2,1600,64,FulcrumInner,488.95,encoder,MB/s
Binary,1,487.146,49,3,1600,64,FulcrumInner,487.146,encoder,MB/s
Binary,1,492.501,49,4,1600,64,FulcrumInner,492.501,encoder,MB/s
Binary,2,448.642,45,0,1600,64,FulcrumInner,448.642,encoder,MB/s
Binary,2,471.473,47,1,1600,64,FulcrumInner,471.473,encoder,MB/s
Binary,2,459.018,47,2,1600,64,FulcrumInner,459.018,encoder,MB/s
Binary,2,473.002,47,3,1600,64,FulcrumInner,473.002,encoder,MB/s
Binary,2,473.282,47,4,1600,64,FulcrumInner,473.282,encoder,MB/s
Binary,3,429.859,46,0,1600,64,FulcrumInner,429.859,encoder,MB/s
Binary,3,451.75,46,1,1600,64,FulcrumInner,451.75,encoder,MB/s
Binary,3,454.584,46,2,1600,64,FulcrumInner,454.584,encoder,MB/s
Binary,3,439.731,46,3,1600,64,FulcrumInner,439.731,encoder,MB/s
Binary,3,438.585,46,4,1600,64,FulcrumInner,438.585,encoder,MB/s
Binary,4,445.173,44,0,1600,64,FulcrumInner,445.173,encoder,MB/s
Binary,4,443.901,44,1,1600,64,FulcrumInner,443.901,encoder,MB/s
Binary,4,427.458,45,2,1600,64,FulcrumInner,427.458,encoder,MB/s
Binary,4,444.444,45,3,1600,64,FulcrumInner,444.444,encoder,MB/s
Binary,4,450.396,45,4,1600,64,FulcrumInner,450.396,encoder,MB/s
Binary,1,435.013,43,0,1600,64,FulcrumInner,455.404,decoder,MB/s
Binary,1,427.062,45,1,1600,64,FulcrumInner,467.099,decoder,MB/s
Binary,1,450.66,45,2,1600,64,FulcrumInner,471.785,decoder,MB/s
Binary,1,453.053,45,3,1600,64,FulcrumInner,474.29,decoder,MB/s
Binary,1,458.052,45,4,1600,64,FulcrumInner,465.209,decoder,MB/s
Binary,2,406.027,40,0,1600,64,FulcrumInner,431.404,decoder,MB/s
Binary,2,426.747,44,1,1600,64,FulcrumInner,453.419,decoder,MB/s
Binary,2,428.167,44,2,1600,64,FulcrumInner,454.927,decoder,MB/s
Binary,2,411.132,44,3,1600,64,FulcrumInner,462.524,decoder,MB/s
Binary,2,439.142,44,4,1600,64,FulcrumInner,459.727,decoder,MB/s
Binary,3,424.603,42,0,1600,64,FulcrumInner,444.506,decoder,MB/s
Binary,3,377.959,42,1,1600,64,FulcrumInner,431.11,decoder,MB/s
Binary,3,419.918,42,2,1600,64,FulcrumInner,439.602,decoder,MB/s
Binary,3,414.535,42,3,1600,64,FulcrumInner,453.398,decoder,MB/s
Binary,3,429.264,42,4,1600,64,FulcrumInner,456.093,decoder,MB/s
