benchmark,density,expansion,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit
Binary,0.2,1,604.108,247,0,1600,16,FulcrumInner,604.108,encoder,MB/s
Binary,0.2,1,614.42,248,1,1600,16,FulcrumInner,614.42,encoder,MB/s
Binary,0.2,1,634.182,248,2,1600,16,FulcrumInner,634.182,encoder,MB/s
Binary,0.2,1,640.699,252,3,1600,16,FulcrumInner,640.699,encoder,MB/s
Binary,0.2,1,635.837,252,4,1600,16,FulcrumInner,635.837,encoder,MB/s
Binary,0.2,2,601.813,236,0,1600,16,FulcrumInner,601.813,encoder,MB/s
Binary,0.2,2,610.425,242,1,1600,16,FulcrumInner,610.425,encoder,MB/s
Binary,0.2,2,610.906,242,2,1600,16,FulcrumInner,610.906,encoder,MB/s
Binary,0.2,2,593.871,243,3,1600,16,FulcrumInner,593.871,encoder,MB/s
Binary,0.2,2,599.018,243,4,1600,16,FulcrumInner,599.018,encoder,MB/s
Binary,0.2,3,591.16,233,0,1600,16,FulcrumInner,591.16,encoder,MB/s
Binary,0.2,3,598.978,238,1,1600,16,FulcrumInner,598.978,encoder,MB/s
Binary,0.2,3,597.099,238,2,1600,16,FulcrumInner,597.099,encoder,MB/s
Binary,0.2,3,596.048,238,3,1600,16,FulcrumInner,596.048,encoder,MB/s
Binary,0.2,3,598.86,238,4,1600,16,FulcrumInner,598.86,encoder,MB/s
Binary,0.2,4,586.24,232,0,1600,16,FulcrumInner,586.24,encoder,MB/s
Binary,0.2,4,572.674,232,1,1600,16,FulcrumInner,572.674,encoder,MB/s
Binary,0.2,4,582.674,232,2,1600,16,FulcrumInner,582.674,encoder,MB/s
Binary,0.2,4,557.41,232,3,1600,16,FulcrumInner,557.41,encoder,MB/s
Binary,0.2,4,571.022,232,4,1600,16,FulcrumInner,571.022,encoder,MB/s
Binary,0.3,1,577.424,227,0,1600,16,FulcrumInner,577.424,encoder,MB/s
Binary,0.3,1,614.82,246,1,1600,16,FulcrumInner,614.82,encoder,MB/s
Binary,0.3,1,620.759,246,2,1600,16,FulcrumInner,620.759,encoder,MB/s
Binary,0.3,1,619.294,246,3,1600,16,FulcrumInner,619.294,encoder,MB/s
Binary,0.3,1,625.134,246,4,1600,16,FulcrumInner,625.134,encoder,MB/s
Binary,0.3,2,603.869,239,0,1600,16,FulcrumInner,603.869,encoder,MB/s
Binary,0.3,2,611.107,239,1,1600,16,FulcrumInner,611.107,encoder,MB/s
Binary,0.3,2,596.161,239,2,1600,16,FulcrumInner,596.161,encoder,MB/s
Binary,0.3,2,609.828,239,3,1600,16,FulcrumInner,609.828,encoder,MB/s
Binary,0.3,2,606.635,240,4,1600,16,FulcrumInner,606.635,encoder,MB/s
Binary,0.3,3,557.133,218,0,1600,16,FulcrumInner,557.133,encoder,MB/s
Binary,0.3,3,591.893,235,1,1600,16,FulcrumInner,591.893,encoder,MB/s
Binary,0.3,3,590.905,235,2,1600,16,FulcrumInner,590.905,encoder,MB/s
Binary,0.3,3,610.661,243,3,1600,16,FulcrumInner,610.661,encoder,MB/s
Binary,0.3,3,580.353,243,4,1600,16,FulcrumInner,580.353,encoder,MB/s
Binary,0.3,4,577.778,234,0,1600,16,FulcrumInner,577.778,encoder,MB/s
Binary,0.3,4,588.506,234,1,1600,16,FulcrumInner,588.506,encoder,MB/s
Binary,0.3,4,589.548,234,2,1600,16,FulcrumInner,589.548,encoder,MB/s
Binary,0.3,4,549.982,234,3,1600,16,FulcrumInner,549.982,encoder,MB/s
