benchmark,density,expansion,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit
Binary,0.2,1,652.474,255,0,1600,16,FulcrumInner,652.474,encoder,MB/s
Binary,0.2,1,647.845,256,1,1600,16,FulcrumInner,647.845,encoder,MB/s
Binary,0.2,1,650.481,256,2,1600,16,FulcrumInner,650.481,encoder,MB/s
Binary,0.2,1,652.359,256,3,1600,16,FulcrumInner,652.359,encoder,MB/s
Binary,0.2,1,653.726,256,4,1600,16,FulcrumInner,653.726,encoder,MB/s
Binary,0.2,2,610.341,249,0,1600,16,FulcrumInner,610.341,encoder,MB/s
Binary,0.2,2,615.111,249,1,1600,16,FulcrumInner,615.111,encoder,MB/s
Binary,0.2,2,636.485,249,2,1600,16,FulcrumInner,636.485,encoder,MB/s
Binary,0.2,2,574.426,249,3,1600,16,FulcrumInner,574.426,encoder,MB/s
Binary,0.2,2,630.941,249,4,1600,16,FulcrumInner,630.941,encoder,MB/s
Binary,0.2,3,591.921,245,0,1600,16,FulcrumInner,591.921,encoder,MB/s
Binary,0.2,3,608.755,245,1,1600,16,FulcrumInner,608.755,encoder,MB/s
Binary,0.2,3,625.012,245,2,1600,16,FulcrumInner,625.012,encoder,MB/s
Binary,0.2,3,623.707,245,3,1600,16,FulcrumInner,623.707,encoder,MB/s
Binary,0.2,3,621.729,245,4,1600,16,FulcrumInner,621.729,encoder,MB/s
Binary,0.2,4,581.706,235,0,1600,16,FulcrumInner,581.706,encoder,MB/s
Binary,0.2,4,588.961,238,1,1600,16,FulcrumInner,588.961,encoder,MB/s
Binary,0.2,4,583.602,238,2,1600,16,FulcrumInner,583.602,encoder,MB/s
Binary,0.2,4,584.105,238,3,1600,16,FulcrumInner,584.105,encoder,MB/s
Binary,0.2,4,603.274,239,4,1600,16,FulcrumInner,603.274,encoder,MB/s
Binary,0.3,1,611.836,252,0,1600,16,FulcrumInner,611.836,encoder,MB/s
Binary,0.3,1,643.768,252,1,1600,16,FulcrumInner,643.768,encoder,MB/s
Binary,0.3,1,640.699,252,2,1600,16,FulcrumInner,640.699,encoder,MB/s
Binary,0.3,1,639.81,252,3,1600,16,FulcrumInner,639.81,encoder,MB/s
Binary,0.3,1,644.669,252,4,1600,16,FulcrumInner,644.669,encoder,MB/s
Binary,0.3,2,594.39,245,0,1600,16,FulcrumInner,594.39,encoder,MB/s
Binary,0.3,2,615.929,245,1,1600,16,FulcrumInner,615.929,encoder,MB/s
Binary,0.3,2,570.13,245,2,1600,16,FulcrumInner,570.13,encoder,MB/s
Binary,0.3,2,622.531,245,3,1600,16,FulcrumInner,622.531,encoder,MB/s
Binary,0.3,2,624.328,245,4,1600,16,FulcrumInner,624.328,encoder,MB/s
Binary,0.3,3,582.927,239,0,1600,16,FulcrumInner,582.927,encoder,MB/s
Binary,0.3,3,608.614,239,1,1600,16,FulcrumInner,608.614,encoder,MB/s
Binary,0.3,3,609.402,239,2,1600,16,FulcrumInner,609.402,encoder,MB/s
Binary,0.3,3,612.367,241,3,1600,16,FulcrumInner,612.367,encoder,MB/s
Binary,0.3,3,606.289,241,4,1600,16,FulcrumInner,606.289,encoder,MB/s
Binary,0.3,4,528.219,213,0,1600,16,FulcrumInner,528.219,encoder,MB/s
Binary,0.3,4,541.826,214,1,1600,16,FulcrumInner,541.826,encoder,MB/s
Binary,0.3,4,534.322,214,2,1600,16,FulcrumInner,534.322,encoder,MB/s
Binary,0.3,4,544.627,214,3,1600,16,FulcrumInner,544.627,encoder,MB/s
Binary,0.3,4,518.837,214,4,1600,16,FulcrumInner,518.837,encoder,MB/s
Binary,0.4,1,571.575,227,0,1600,16,FulcrumInner,571.575,encoder,MB/s
Binary,0.4,1,572.025,227,1,1600,16,FulcrumInner,572.025,encoder,MB/s
Binary,0.4,1,578.574,227,2,1600,16,FulcrumInner,578.574,encoder,MB/s
Binary,0.4,1,565.402,227,3,1600,16,FulcrumInner,565.402,encoder,MB/s
Binary,0.4,1,568.333,227,4,1600,16,FulcrumInner,568.333,encoder,MB/s
Binary,0.4,2,558.398,220,0,1600,16,FulcrumInner,558.398,encoder,MB/s
Binary,0.4,2,553.133,220,1,1600,16,FulcrumInner,553.133,encoder,MB/s
Binary,0.4,2,553.731,220,2,1600,16,FulcrumInner,553.731,encoder,MB/s
Binary,0.4,2,548.233,220,3,1600,16,FulcrumInner,548.233,encoder,MB/s
Binary,0.4,2,551.022,220,4,1600,16,FulcrumInner,551.022,encoder,MB/s
Binary,0.4,3,540.105,216,0,1600,16,FulcrumInner,540.105,encoder,MB/s
Binary,0.4,3,542.011,216,1,1600,16,FulcrumInner,542.011,encoder,MB/s
Binary,0.4,3,522.449,216,2,1600,16,FulcrumInner,522.449,encoder,MB/s
Binary,0.4,3,542.596,216,3,1600,16,FulcrumInner,542.596,encoder,MB/s
Binary,0.4,3,530.366,216,4,1600,16,FulcrumInner,530.366,encoder,MB/s
Binary,0.4,4,517.984,206,0,1600,16,FulcrumInner,517.984,encoder,MB/s
Binary,0.4,4,515.503,206,1,1600,16,FulcrumInner,515.503,encoder,MB/s
Binary,0.4,4,517.07,206,2,1600,16,FulcrumInner,517.07,encoder,MB/s
Binary,0.4,4,520.952,206,3,1600,16,FulcrumInner,520.952,encoder,MB/s
Binary,0.4,4,521.261,206,4,1600,16,FulcrumInner,521.261,encoder,MB/s
Binary,0.5,1,569.617,226,0,1600,16,FulcrumInner,569.617,encoder,MB/s
Binary,0.5,1,546.946,226,1,1600,16,FulcrumInner,546.946,encoder,MB/s
Binary,0.5,1,561.055,226,2,1600,16,FulcrumInner,561.055,encoder,MB/s
Binary,0.5,1,564.724,226,3,1600,16,FulcrumInner,564.724,encoder,MB/s
Binary,0.5,1,562.2,226,4,1600,16,FulcrumInner,562.2,encoder,MB/s
Binary,0.5,2,553.232,234,0,1600,16,FulcrumInner,553.232,encoder,MB/s
Binary,0.5,2,597.367,234,1,1600,16,FulcrumInner,597.367,encoder,MB/s
Binary,0.5,2,603.281,237,2,1600,16,FulcrumInner,603.281,encoder,MB/s
Binary,0.5,2,605.509,237,3,1600,16,FulcrumInner,605.509,encoder,MB/s
Binary,0.5,2,597.459,237,4,1600,16,FulcrumInner,597.459,encoder,MB/s
Binary,0.5,3,557.429,227,0,1600,16,FulcrumInner,557.429,encoder,MB/s
Binary,0.5,3,578.302,228,1,1600,16,FulcrumInner,578.302,encoder,MB/s
