time,density,nonezero,
1,0.1,0.09,
2,0.1,0.11,
3,0.1,0.095,
4,0.1,0.07,
5,0.1,0.11,
6,0.1,0.09,
7,0.1,0.1,
8,0.1,0.105,
9,0.1,0.06,
10,0.1,0.075,
11,0.1,0.1,
12,0.1,0.075,
13,0.1,0.095,
14,0.1,0.08,
15,0.1,0.13,
16,0.1,0.08,
17,0.1,0.105,
18,0.1,0.12,
19,0.1,0.12,
20,0.1,0.1,
21,0.1,0.08,
22,0.1,0.135,
23,0.1,0.105,
24,0.1,0.125,
25,0.1,0.12,
26,0.1,0.13,
27,0.1,0.11,
28,0.1,0.095,
29,0.1,0.095,
30,0.1,0.1,
31,0.1,0.07,
32,0.1,0.09,
33,0.1,0.07,
34,0.1,0.075,
35,0.1,0.095,
36,0.1,0.12,
37,0.1,0.095,
38,0.1,0.09,
39,0.1,0.095,
40,0.1,0.09,
41,0.1,0.1,
42,0.1,0.075,
43,0.1,0.1,
44,0.1,0.095,
45,0.1,0.095,
46,0.1,0.1,
47,0.1,0.13,
48,0.1,0.125,
49,0.1,0.12,
50,0.1,0.13,
51,0.1,0.165,
52,0.1,0.085,
53,0.1,0.1,
54,0.1,0.105,
55,0.1,0.12,
56,0.1,0.055,
57,0.1,0.12,
58,0.1,0.115,
59,0.1,0.09,
60,0.1,0.075,
61,0.1,0.075,
62,0.1,0.115,
63,0.1,0.08,
64,0.1,0.1,
65,0.1,0.135,
66,0.1,0.095,
67,0.1,0.08,
68,0.1,0.11,
69,0.1,0.095,
70,0.1,0.12,
71,0.1,0.08,
72,0.1,0.11,
73,0.1,0.055,
74,0.1,0.105,
75,0.1,0.07,
76,0.1,0.1,
77,0.1,0.11,
78,0.1,0.125,
79,0.1,0.105,
80,0.1,0.115,
81,0.1,0.07,
82,0.1,0.105,
83,0.1,0.105,
84,0.1,0.115,
85,0.1,0.115,
86,0.1,0.08,
87,0.1,0.1,
88,0.1,0.14,
89,0.1,0.165,
90,0.1,0.11,
91,0.1,0.095,
92,0.1,0.085,
93,0.1,0.12,
94,0.1,0.08,
95,0.1,0.095,
96,0.1,0.12,
97,0.1,0.14,
98,0.1,0.09,
99,0.1,0.07,
100,0.1,0.09,
101,0.1,0.145,
102,0.1,0.125,
103,0.1,0.14,
104,0.1,0.1,
105,0.1,0.095,
106,0.1,0.125,
107,0.1,0.145,
108,0.1,0.12,
109,0.1,0.075,
110,0.1,0.09,
111,0.1,0.105,
112,0.1,0.115,
113,0.1,0.095,
114,0.1,0.115,
115,0.1,0.085,
116,0.1,0.095,
117,0.1,0.105,
118,0.1,0.105,
119,0.1,0.115,
120,0.1,0.115,
121,0.1,0.085,
122,0.1,0.09,
123,0.1,0.125,
124,0.1,0.065,
125,0.1,0.08,
126,0.1,0.09,
127,0.1,0.1,
128,0.1,0.08,
129,0.1,0.065,
130,0.1,0.11,
131,0.1,0.1,
132,0.1,0.13,
133,0.1,0.1,
134,0.1,0.14,
135,0.1,0.06,
136,0.1,0.11,
137,0.1,0.12,
138,0.1,0.105,
139,0.1,0.165,
140,0.1,0.09,
141,0.1,0.1,
142,0.1,0.11,
143,0.1,0.115,
144,0.1,0.11,
145,0.1,0.1,
146,0.1,0.08,
147,0.1,0.095,
148,0.1,0.085,
149,0.1,0.07,
150,0.1,0.15,
151,0.1,0.08,
152,0.1,0.115,
153,0.1,0.1,
154,0.1,0.095,
155,0.1,0.09,
156,0.1,0.105,
157,0.1,0.095,
158,0.1,0.085,
159,0.1,0.125,
160,0.1,0.1,
161,0.1,0.115,
162,0.1,0.09,
163,0.1,0.095,
164,0.1,0.08,
165,0.1,0.085,
166,0.1,0.085,
167,0.1,0.105,
168,0.1,0.075,
169,0.1,0.135,
170,0.1,0.085,
171,0.1,0.085,
172,0.1,0.095,
173,0.1,0.105,
174,0.1,0.085,
175,0.1,0.065,
176,0.1,0.11,
177,0.1,0.095,
178,0.1,0.065,
179,0.1,0.105,
180,0.1,0.095,
181,0.1,0.125,
182,0.1,0.085,
183,0.1,0.08,
184,0.1,0.085,
185,0.1,0.1,
186,0.1,0.09,
187,0.1,0.1,
188,0.1,0.125,
189,0.1,0.1,
190,0.1,0.08,
191,0.1,0.095,
192,0.1,0.13,
193,0.1,0.085,
194,0.1,0.105,
195,0.1,0.085,
196,0.1,0.085,
197,0.1,0.145,
198,0.1,0.125,
199,0.1,0.11,
200,0.1,0.11,
201,0.1,0.075,
1,0.2,0.175,
2,0.2,0.22,
3,0.2,0.19,
4,0.2,0.14,
5,0.2,0.215,
6,0.2,0.185,
7,0.2,0.255,
8,0.2,0.195,
9,0.2,0.19,
10,0.2,0.165,
11,0.2,0.255,
12,0.2,0.175,
13,0.2,0.205,
14,0.2,0.18,
15,0.2,0.2,
16,0.2,0.205,
17,0.2,0.18,
18,0.2,0.245,
19,0.2,0.265,
20,0.2,0.2,
21,0.2,0.185,
22,0.2,0.225,
23,0.2,0.25,
24,0.2,0.19,
25,0.2,0.155,
26,0.2,0.22,
27,0.2,0.22,
28,0.2,0.21,
29,0.2,0.195,
30,0.2,0.205,
31,0.2,0.18,
32,0.2,0.23,
33,0.2,0.18,
34,0.2,0.16,
35,0.2,0.185,
36,0.2,0.2,
37,0.2,0.165,
38,0.2,0.255,
39,0.2,0.19,
40,0.2,0.215,
41,0.2,0.18,
42,0.2,0.255,
43,0.2,0.255,
44,0.2,0.215,
45,0.2,0.205,
46,0.2,0.225,
47,0.2,0.205,
48,0.2,0.195,
49,0.2,0.225,
50,0.2,0.155,
51,0.2,0.235,
52,0.2,0.215,
53,0.2,0.17,
54,0.2,0.195,
55,0.2,0.295,
56,0.2,0.16,
57,0.2,0.195,
58,0.2,0.135,
59,0.2,0.225,
60,0.2,0.245,
61,0.2,0.165,
62,0.2,0.23,
63,0.2,0.215,
64,0.2,0.25,
65,0.2,0.175,
66,0.2,0.245,
67,0.2,0.22,
68,0.2,0.215,
69,0.2,0.165,
70,0.2,0.195,
71,0.2,0.185,
72,0.2,0.18,
73,0.2,0.14,
74,0.2,0.235,
75,0.2,0.15,
76,0.2,0.25,
77,0.2,0.14,
78,0.2,0.19,
79,0.2,0.23,
80,0.2,0.21,
81,0.2,0.21,
82,0.2,0.165,
83,0.2,0.2,
84,0.2,0.235,
85,0.2,0.2,
86,0.2,0.135,
87,0.2,0.225,
88,0.2,0.24,
89,0.2,0.195,
90,0.2,0.21,
91,0.2,0.285,
92,0.2,0.205,
93,0.2,0.175,
94,0.2,0.195,
95,0.2,0.185,
96,0.2,0.165,
97,0.2,0.195,
98,0.2,0.18,
99,0.2,0.185,
100,0.2,0.235,
101,0.2,0.215,
102,0.2,0.24,
103,0.2,0.195,
104,0.2,0.235,
105,0.2,0.185,
106,0.2,0.225,
107,0.2,0.25,
108,0.2,0.205,
109,0.2,0.21,
110,0.2,0.225,
111,0.2,0.205,
112,0.2,0.215,
113,0.2,0.165,
114,0.2,0.235,
115,0.2,0.175,
116,0.2,0.2,
117,0.2,0.22,
118,0.2,0.17,
119,0.2,0.155,
