time,density,nonezero,
1,0.1,0.095,
2,0.1,0.07,
3,0.1,0.115,
4,0.1,0.08,
5,0.1,0.1,
6,0.1,0.08,
7,0.1,0.08,
8,0.1,0.085,
9,0.1,0.085,
10,0.1,0.1,
11,0.1,0.1,
12,0.1,0.085,
13,0.1,0.105,
14,0.1,0.085,
15,0.1,0.12,
16,0.1,0.12,
17,0.1,0.1,
18,0.1,0.12,
19,0.1,0.125,
20,0.1,0.11,
21,0.1,0.08,
22,0.1,0.09,
23,0.1,0.085,
24,0.1,0.05,
25,0.1,0.065,
26,0.1,0.145,
27,0.1,0.09,
28,0.1,0.105,
29,0.1,0.1,
30,0.1,0.085,
31,0.1,0.09,
32,0.1,0.12,
33,0.1,0.08,
34,0.1,0.065,
35,0.1,0.13,
36,0.1,0.125,
37,0.1,0.095,
38,0.1,0.05,
39,0.1,0.095,
40,0.1,0.1,
41,0.1,0.12,
42,0.1,0.1,
43,0.1,0.085,
44,0.1,0.085,
45,0.1,0.085,
46,0.1,0.11,
47,0.1,0.105,
48,0.1,0.095,
49,0.1,0.075,
50,0.1,0.1,
51,0.1,0.065,
52,0.1,0.115,
53,0.1,0.12,
54,0.1,0.085,
55,0.1,0.08,
56,0.1,0.115,
57,0.1,0.14,
58,0.1,0.1,
59,0.1,0.09,
60,0.1,0.09,
61,0.1,0.08,
62,0.1,0.1,
63,0.1,0.105,
64,0.1,0.125,
65,0.1,0.085,
66,0.1,0.06,
67,0.1,0.125,
68,0.1,0.11,
69,0.1,0.07,
70,0.1,0.095,
71,0.1,0.11,
72,0.1,0.09,
73,0.1,0.11,
74,0.1,0.115,
75,0.1,0.13,
76,0.1,0.12,
77,0.1,0.09,
78,0.1,0.095,
79,0.1,0.12,
80,0.1,0.075,
81,0.1,0.105,
82,0.1,0.085,
83,0.1,0.125,
84,0.1,0.11,
85,0.1,0.105,
86,0.1,0.085,
87,0.1,0.125,
88,0.1,0.095,
89,0.1,0.12,
90,0.1,0.11,
91,0.1,0.13,
92,0.1,0.1,
93,0.1,0.13,
94,0.1,0.085,
95,0.1,0.115,
96,0.1,0.135,
97,0.1,0.125,
98,0.1,0.105,
99,0.1,0.115,
100,0.1,0.11,
101,0.1,0.085,
102,0.1,0.095,
103,0.1,0.1,
104,0.1,0.135,
105,0.1,0.115,
106,0.1,0.13,
107,0.1,0.07,
108,0.1,0.115,
109,0.1,0.06,
110,0.1,0.11,
111,0.1,0.135,
112,0.1,0.08,
113,0.1,0.145,
114,0.1,0.075,
115,0.1,0.1,
116,0.1,0.08,
117,0.1,0.08,
118,0.1,0.08,
119,0.1,0.09,
120,0.1,0.095,
121,0.1,0.12,
122,0.1,0.065,
123,0.1,0.105,
124,0.1,0.085,
125,0.1,0.115,
126,0.1,0.12,
127,0.1,0.11,
128,0.1,0.1,
129,0.1,0.125,
130,0.1,0.1,
131,0.1,0.095,
132,0.1,0.115,
133,0.1,0.085,
134,0.1,0.115,
135,0.1,0.13,
136,0.1,0.11,
137,0.1,0.105,
138,0.1,0.13,
139,0.1,0.09,
140,0.1,0.07,
141,0.1,0.12,
142,0.1,0.13,
143,0.1,0.135,
144,0.1,0.115,
145,0.1,0.11,
146,0.1,0.07,
147,0.1,0.07,
148,0.1,0.14,
149,0.1,0.1,
150,0.1,0.095,
151,0.1,0.055,
152,0.1,0.125,
153,0.1,0.1,
154,0.1,0.095,
155,0.1,0.135,
156,0.1,0.105,
157,0.1,0.11,
158,0.1,0.115,
159,0.1,0.15,
160,0.1,0.095,
161,0.1,0.12,
162,0.1,0.08,
163,0.1,0.09,
164,0.1,0.085,
165,0.1,0.085,
166,0.1,0.105,
167,0.1,0.095,
168,0.1,0.125,
169,0.1,0.12,
170,0.1,0.085,
171,0.1,0.08,
172,0.1,0.07,
173,0.1,0.145,
174,0.1,0.105,
175,0.1,0.105,
176,0.1,0.13,
177,0.1,0.055,
178,0.1,0.085,
179,0.1,0.115,
180,0.1,0.11,
181,0.1,0.095,
182,0.1,0.105,
183,0.1,0.085,
184,0.1,0.115,
185,0.1,0.155,
186,0.1,0.105,
187,0.1,0.115,
188,0.1,0.07,
189,0.1,0.14,
190,0.1,0.105,
191,0.1,0.11,
192,0.1,0.08,
193,0.1,0.1,
194,0.1,0.095,
195,0.1,0.085,
196,0.1,0.105,
197,0.1,0.11,
198,0.1,0.09,
199,0.1,0.105,
200,0.1,0.06,
1,0.2,0.155,
2,0.2,0.2,
3,0.2,0.195,
4,0.2,0.175,
5,0.2,0.225,
6,0.2,0.21,
7,0.2,0.18,
8,0.2,0.19,
9,0.2,0.23,
10,0.2,0.21,
11,0.2,0.22,
12,0.2,0.17,
13,0.2,0.25,
14,0.2,0.235,
15,0.2,0.16,
16,0.2,0.175,
17,0.2,0.245,
18,0.2,0.23,
19,0.2,0.235,
20,0.2,0.175,
21,0.2,0.175,
22,0.2,0.19,
23,0.2,0.24,
24,0.2,0.205,
25,0.2,0.15,
26,0.2,0.18,
27,0.2,0.195,
28,0.2,0.17,
29,0.2,0.21,
30,0.2,0.21,
31,0.2,0.21,
32,0.2,0.18,
33,0.2,0.25,
34,0.2,0.185,
35,0.2,0.19,
36,0.2,0.225,
37,0.2,0.275,
38,0.2,0.21,
39,0.2,0.22,
40,0.2,0.21,
41,0.2,0.155,
42,0.2,0.15,
43,0.2,0.2,
44,0.2,0.13,
45,0.2,0.175,
46,0.2,0.24,
47,0.2,0.215,
48,0.2,0.16,
49,0.2,0.17,
50,0.2,0.2,
51,0.2,0.175,
52,0.2,0.23,
53,0.2,0.225,
54,0.2,0.215,
55,0.2,0.2,
56,0.2,0.16,
57,0.2,0.22,
58,0.2,0.165,
59,0.2,0.24,
60,0.2,0.19,
61,0.2,0.215,
62,0.2,0.225,
63,0.2,0.22,
64,0.2,0.215,
65,0.2,0.2,
66,0.2,0.205,
67,0.2,0.18,
68,0.2,0.21,
69,0.2,0.2,
70,0.2,0.175,
71,0.2,0.225,
72,0.2,0.21,
73,0.2,0.165,
74,0.2,0.225,
75,0.2,0.21,
76,0.2,0.17,
77,0.2,0.215,
78,0.2,0.205,
79,0.2,0.19,
80,0.2,0.17,
81,0.2,0.19,
82,0.2,0.23,
83,0.2,0.2,
84,0.2,0.18,
85,0.2,0.225,
86,0.2,0.185,
87,0.2,0.215,
88,0.2,0.22,
89,0.2,0.13,
90,0.2,0.185,
91,0.2,0.18,
92,0.2,0.2,
93,0.2,0.19,
94,0.2,0.235,
95,0.2,0.245,
96,0.2,0.235,
97,0.2,0.23,
98,0.2,0.205,
99,0.2,0.22,
100,0.2,0.155,
101,0.2,0.22,
102,0.2,0.165,
103,0.2,0.185,
104,0.2,0.205,
105,0.2,0.175,
106,0.2,0.265,
107,0.2,0.195,
108,0.2,0.195,
109,0.2,0.19,
110,0.2,0.22,
111,0.2,0.165,
112,0.2,0.18,
113,0.2,0.175,
114,0.2,0.195,
115,0.2,0.195,
116,0.2,0.185,
117,0.2,0.205,
118,0.2,0.17,
119,0.2,0.195,
120,0.2,0.245,
121,0.2,0.235,
122,0.2,0.135,
123,0.2,0.245,
124,0.2,0.185,
125,0.2,0.185,
126,0.2,0.245,
127,0.2,0.24,
128,0.2,0.155,
129,0.2,0.23,
130,0.2,0.225,
131,0.2,0.175,
132,0.2,0.175,
133,0.2,0.23,
134,0.2,0.21,
135,0.2,0.245,
136,0.2,0.21,
137,0.2,0.18,
138,0.2,0.205,
139,0.2,0.18,
140,0.2,0.175,
141,0.2,0.2,
142,0.2,0.205,
143,0.2,0.19,
144,0.2,0.195,
145,0.2,0.22,
146,0.2,0.15,
147,0.2,0.2,
148,0.2,0.235,
149,0.2,0.155,
150,0.2,0.15,
151,0.2,0.235,
152,0.2,0.23,
153,0.2,0.19,
154,0.2,0.205,
155,0.2,0.18,
156,0.2,0.21,
157,0.2,0.185,
158,0.2,0.24,
159,0.2,0.17,
160,0.2,0.21,
161,0.2,0.225,
162,0.2,0.255,
163,0.2,0.205,
164,0.2,0.2,
165,0.2,0.19,
166,0.2,0.155,
167,0.2,0.21,
168,0.2,0.155,
169,0.2,0.195,
170,0.2,0.205,
171,0.2,0.21,
172,0.2,0.195,
173,0.2,0.155,
174,0.2,0.16,
175,0.2,0.2,
176,0.2,0.22,
177,0.2,0.195,
178,0.2,0.155,
179,0.2,0.175,
180,0.2,0.24,
181,0.2,0.24,
182,0.2,0.185,
183,0.2,0.21,
184,0.2,0.195,
185,0.2,0.23,
