time,density,nonezero,
1,0.1,0.1,
2,0.1,0.115,
3,0.1,0.1,
4,0.1,0.085,
5,0.1,0.095,
6,0.1,0.09,
7,0.1,0.065,
8,0.1,0.115,
9,0.1,0.095,
10,0.1,0.065,
11,0.1,0.13,
12,0.1,0.1,
13,0.1,0.105,
14,0.1,0.075,
15,0.1,0.075,
16,0.1,0.085,
17,0.1,0.08,
18,0.1,0.055,
19,0.1,0.105,
20,0.1,0.09,
21,0.1,0.1,
22,0.1,0.115,
23,0.1,0.075,
24,0.1,0.1,
25,0.1,0.085,
26,0.1,0.11,
27,0.1,0.08,
28,0.1,0.135,
29,0.1,0.075,
30,0.1,0.115,
31,0.1,0.08,
32,0.1,0.135,
33,0.1,0.09,
34,0.1,0.125,
35,0.1,0.075,
36,0.1,0.1,
37,0.1,0.095,
38,0.1,0.08,
39,0.1,0.135,
40,0.1,0.06,
41,0.1,0.1,
42,0.1,0.065,
43,0.1,0.105,
44,0.1,0.09,
45,0.1,0.06,
46,0.1,0.095,
47,0.1,0.12,
48,0.1,0.065,
49,0.1,0.115,
50,0.1,0.08,
51,0.1,0.1,
52,0.1,0.1,
53,0.1,0.1,
54,0.1,0.055,
55,0.1,0.09,
56,0.1,0.12,
57,0.1,0.12,
58,0.1,0.1,
59,0.1,0.045,
60,0.1,0.105,
61,0.1,0.105,
62,0.1,0.06,
63,0.1,0.105,
64,0.1,0.115,
65,0.1,0.11,
66,0.1,0.11,
67,0.1,0.08,
68,0.1,0.08,
69,0.1,0.095,
70,0.1,0.09,
71,0.1,0.14,
72,0.1,0.08,
73,0.1,0.11,
74,0.1,0.08,
75,0.1,0.085,
76,0.1,0.105,
77,0.1,0.09,
78,0.1,0.08,
79,0.1,0.135,
80,0.1,0.12,
81,0.1,0.085,
82,0.1,0.12,
83,0.1,0.075,
84,0.1,0.085,
85,0.1,0.1,
86,0.1,0.065,
87,0.1,0.1,
88,0.1,0.095,
89,0.1,0.1,
90,0.1,0.135,
91,0.1,0.085,
92,0.1,0.11,
93,0.1,0.095,
94,0.1,0.145,
95,0.1,0.115,
96,0.1,0.13,
97,0.1,0.075,
98,0.1,0.075,
99,0.1,0.14,
100,0.1,0.105,
101,0.1,0.095,
102,0.1,0.08,
103,0.1,0.075,
104,0.1,0.09,
105,0.1,0.07,
106,0.1,0.145,
107,0.1,0.12,
108,0.1,0.1,
109,0.1,0.095,
110,0.1,0.09,
111,0.1,0.1,
112,0.1,0.095,
113,0.1,0.07,
114,0.1,0.085,
115,0.1,0.105,
116,0.1,0.115,
117,0.1,0.08,
118,0.1,0.095,
119,0.1,0.065,
120,0.1,0.085,
121,0.1,0.09,
122,0.1,0.09,
123,0.1,0.085,
124,0.1,0.1,
125,0.1,0.095,
126,0.1,0.12,
127,0.1,0.135,
128,0.1,0.105,
129,0.1,0.155,
130,0.1,0.06,
131,0.1,0.08,
132,0.1,0.07,
133,0.1,0.14,
134,0.1,0.065,
135,0.1,0.1,
136,0.1,0.13,
137,0.1,0.13,
138,0.1,0.11,
139,0.1,0.125,
140,0.1,0.075,
141,0.1,0.125,
142,0.1,0.125,
143,0.1,0.08,
144,0.1,0.09,
145,0.1,0.08,
146,0.1,0.11,
147,0.1,0.105,
148,0.1,0.115,
149,0.1,0.09,
150,0.1,0.145,
151,0.1,0.105,
152,0.1,0.09,
153,0.1,0.105,
154,0.1,0.125,
155,0.1,0.065,
156,0.1,0.105,
157,0.1,0.125,
158,0.1,0.13,
159,0.1,0.095,
160,0.1,0.09,
161,0.1,0.085,
162,0.1,0.085,
163,0.1,0.095,
164,0.1,0.09,
165,0.1,0.115,
166,0.1,0.115,
167,0.1,0.11,
168,0.1,0.135,
169,0.1,0.1,
170,0.1,0.105,
171,0.1,0.115,
172,0.1,0.07,
173,0.1,0.085,
174,0.1,0.145,
175,0.1,0.095,
176,0.1,0.11,
177,0.1,0.105,
178,0.1,0.135,
179,0.1,0.09,
180,0.1,0.135,
181,0.1,0.095,
182,0.1,0.08,
183,0.1,0.085,
184,0.1,0.09,
185,0.1,0.115,
186,0.1,0.12,
187,0.1,0.11,
188,0.1,0.135,
189,0.1,0.095,
190,0.1,0.055,
191,0.1,0.1,
192,0.1,0.11,
193,0.1,0.115,
194,0.1,0.1,
195,0.1,0.11,
196,0.1,0.08,
197,0.1,0.125,
198,0.1,0.1,
199,0.1,0.11,
200,0.1,0.125,
1,0.2,0.22,
2,0.2,0.2,
3,0.2,0.195,
4,0.2,0.24,
5,0.2,0.175,
6,0.2,0.19,
7,0.2,0.2,
8,0.2,0.225,
9,0.2,0.165,
10,0.2,0.195,
11,0.2,0.205,
12,0.2,0.19,
13,0.2,0.215,
14,0.2,0.155,
15,0.2,0.2,
16,0.2,0.175,
17,0.2,0.205,
18,0.2,0.205,
19,0.2,0.175,
20,0.2,0.255,
21,0.2,0.225,
22,0.2,0.25,
23,0.2,0.16,
24,0.2,0.25,
25,0.2,0.165,
26,0.2,0.16,
27,0.2,0.26,
28,0.2,0.17,
29,0.2,0.22,
30,0.2,0.21,
31,0.2,0.175,
32,0.2,0.18,
33,0.2,0.205,
34,0.2,0.215,
35,0.2,0.16,
36,0.2,0.22,
37,0.2,0.175,
38,0.2,0.265,
39,0.2,0.205,
40,0.2,0.185,
41,0.2,0.175,
42,0.2,0.17,
43,0.2,0.22,
44,0.2,0.205,
45,0.2,0.24,
46,0.2,0.23,
47,0.2,0.18,
48,0.2,0.175,
49,0.2,0.185,
50,0.2,0.21,
51,0.2,0.17,
52,0.2,0.22,
53,0.2,0.2,
54,0.2,0.195,
55,0.2,0.14,
56,0.2,0.25,
57,0.2,0.195,
58,0.2,0.195,
59,0.2,0.185,
60,0.2,0.215,
61,0.2,0.205,
62,0.2,0.19,
63,0.2,0.21,
64,0.2,0.21,
65,0.2,0.16,
66,0.2,0.175,
67,0.2,0.22,
68,0.2,0.195,
69,0.2,0.225,
70,0.2,0.225,
71,0.2,0.185,
72,0.2,0.225,
73,0.2,0.21,
74,0.2,0.195,
75,0.2,0.305,
76,0.2,0.2,
77,0.2,0.21,
78,0.2,0.2,
79,0.2,0.23,
80,0.2,0.185,
81,0.2,0.235,
82,0.2,0.2,
83,0.2,0.205,
84,0.2,0.19,
85,0.2,0.22,
86,0.2,0.185,
87,0.2,0.2,
88,0.2,0.25,
89,0.2,0.2,
90,0.2,0.185,
91,0.2,0.245,
92,0.2,0.23,
93,0.2,0.19,
94,0.2,0.17,
95,0.2,0.2,
96,0.2,0.185,
97,0.2,0.215,
98,0.2,0.205,
99,0.2,0.165,
100,0.2,0.225,
101,0.2,0.245,
102,0.2,0.215,
103,0.2,0.165,
104,0.2,0.185,
105,0.2,0.215,
106,0.2,0.21,
107,0.2,0.15,
108,0.2,0.22,
109,0.2,0.225,
110,0.2,0.195,
111,0.2,0.185,
112,0.2,0.23,
113,0.2,0.19,
114,0.2,0.17,
115,0.2,0.19,
116,0.2,0.205,
117,0.2,0.185,
118,0.2,0.21,
119,0.2,0.195,
120,0.2,0.195,
121,0.2,0.295,
122,0.2,0.145,
123,0.2,0.23,
124,0.2,0.265,
125,0.2,0.18,
126,0.2,0.245,
127,0.2,0.205,
128,0.2,0.25,
129,0.2,0.245,
130,0.2,0.155,
131,0.2,0.18,
132,0.2,0.145,
133,0.2,0.22,
134,0.2,0.21,
135,0.2,0.185,
136,0.2,0.215,
137,0.2,0.2,
138,0.2,0.19,
139,0.2,0.18,
140,0.2,0.19,
141,0.2,0.19,
142,0.2,0.2,
143,0.2,0.215,
144,0.2,0.23,
145,0.2,0.22,
146,0.2,0.195,
147,0.2,0.165,
148,0.2,0.19,
149,0.2,0.23,
150,0.2,0.225,
151,0.2,0.21,
152,0.2,0.22,
153,0.2,0.18,
154,0.2,0.17,
155,0.2,0.17,
156,0.2,0.175,
157,0.2,0.22,
158,0.2,0.19,
159,0.2,0.185,
160,0.2,0.205,
161,0.2,0.185,
162,0.2,0.165,
163,0.2,0.205,
164,0.2,0.185,
165,0.2,0.275,
166,0.2,0.2,
167,0.2,0.215,
168,0.2,0.225,
169,0.2,0.185,
170,0.2,0.22,
171,0.2,0.195,
172,0.2,0.21,
173,0.2,0.165,
174,0.2,0.17,
175,0.2,0.205,
176,0.2,0.16,
177,0.2,0.225,
178,0.2,0.215,
179,0.2,0.225,
180,0.2,0.2,
181,0.2,0.2,
182,0.2,0.175,
183,0.2,0.23,
184,0.2,0.2,
185,0.2,0.23,
186,0.2,0.21,
187,0.2,0.19,
188,0.2,0.2,
189,0.2,0.16,
190,0.2,0.215,
191,0.2,0.16,
192,0.2,0.195,
193,0.2,0.22,
194,0.2,0.19,
195,0.2,0.2,
196,0.2,0.225,
197,0.2,0.18,
198,0.2,0.16,
199,0.2,0.18,
200,0.2,0.19,
1,0.3,0.275,
2,0.3,0.335,
3,0.3,0.285,
4,0.3,0.28,
5,0.3,0.315,
6,0.3,0.32,
7,0.3,0.27,
8,0.3,0.225,
9,0.3,0.25,
10,0.3,0.19,
11,0.3,0.3,
12,0.3,0.285,
13,0.3,0.285,
14,0.3,0.335,
15,0.3,0.285,
16,0.3,0.325,
17,0.3,0.245,
18,0.3,0.355,
19,0.3,0.31,
20,0.3,0.26,
21,0.3,0.27,
22,0.3,0.33,
23,0.3,0.255,
24,0.3,0.215,
25,0.3,0.28,
26,0.3,0.295,
27,0.3,0.31,
28,0.3,0.315,
29,0.3,0.295,
30,0.3,0.28,
31,0.3,0.365,
32,0.3,0.33,
33,0.3,0.25,
34,0.3,0.285,
35,0.3,0.29,
36,0.3,0.3,
37,0.3,0.28,
38,0.3,0.325,
39,0.3,0.295,
40,0.3,0.265,
41,0.3,0.31,
42,0.3,0.28,
43,0.3,0.365,
44,0.3,0.255,
45,0.3,0.285,
46,0.3,0.31,
47,0.3,0.27,
48,0.3,0.26,
49,0.3,0.31,
50,0.3,0.25,
51,0.3,0.33,
52,0.3,0.28,
53,0.3,0.345,
54,0.3,0.275,
55,0.3,0.345,
56,0.3,0.275,
57,0.3,0.355,
58,0.3,0.28,
59,0.3,0.31,
60,0.3,0.29,
61,0.3,0.315,
62,0.3,0.28,
63,0.3,0.28,
64,0.3,0.35,
65,0.3,0.255,
66,0.3,0.335,
67,0.3,0.355,
68,0.3,0.25,
69,0.3,0.29,
70,0.3,0.295,
71,0.3,0.295,
72,0.3,0.275,
73,0.3,0.315,
74,0.3,0.33,
75,0.3,0.315,
76,0.3,0.255,
77,0.3,0.305,
78,0.3,0.335,
79,0.3,0.36,
80,0.3,0.29,
81,0.3,0.245,
82,0.3,0.37,
83,0.3,0.345,
84,0.3,0.285,
85,0.3,0.29,
86,0.3,0.31,
87,0.3,0.3,
88,0.3,0.31,
89,0.3,0.355,
90,0.3,0.365,
91,0.3,0.28,
92,0.3,0.28,
93,0.3,0.245,
94,0.3,0.33,
95,0.3,0.255,
96,0.3,0.315,
97,0.3,0.255,
98,0.3,0.29,
99,0.3,0.335,
100,0.3,0.34,
101,0.3,0.26,
102,0.3,0.335,
103,0.3,0.295,
104,0.3,0.29,
105,0.3,0.275,
106,0.3,0.27,
107,0.3,0.295,
108,0.3,0.325,
109,0.3,0.36,
110,0.3,0.32,
111,0.3,0.27,
112,0.3,0.33,
113,0.3,0.255,
114,0.3,0.225,
115,0.3,0.31,
116,0.3,0.38,
117,0.3,0.255,
118,0.3,0.265,
119,0.3,0.31,
120,0.3,0.3,
121,0.3,0.265,
122,0.3,0.235,
123,0.3,0.29,
124,0.3,0.26,
125,0.3,0.26,
126,0.3,0.325,
127,0.3,0.305,
128,0.3,0.32,
129,0.3,0.31,
130,0.3,0.29,
131,0.3,0.285,
132,0.3,0.23,
133,0.3,0.325,
134,0.3,0.31,
135,0.3,0.325,
136,0.3,0.37,
137,0.3,0.325,
138,0.3,0.28,
139,0.3,0.33,
140,0.3,0.205,
141,0.3,0.25,
142,0.3,0.295,
143,0.3,0.31,
144,0.3,0.365,
145,0.3,0.275,
146,0.3,0.305,
147,0.3,0.26,
148,0.3,0.295,
149,0.3,0.315,
150,0.3,0.31,
151,0.3,0.25,
152,0.3,0.295,
153,0.3,0.365,
154,0.3,0.275,
155,0.3,0.33,
156,0.3,0.315,
157,0.3,0.31,
158,0.3,0.31,
159,0.3,0.31,
160,0.3,0.295,
161,0.3,0.28,
162,0.3,0.31,
163,0.3,0.265,
164,0.3,0.27,
165,0.3,0.335,
166,0.3,0.365,
167,0.3,0.275,
168,0.3,0.28,
169,0.3,0.31,
170,0.3,0.27,
171,0.3,0.305,
172,0.3,0.305,
173,0.3,0.255,
174,0.3,0.34,
175,0.3,0.325,
176,0.3,0.33,
177,0.3,0.26,
178,0.3,0.33,
179,0.3,0.265,
180,0.3,0.34,
181,0.3,0.32,
182,0.3,0.4,
183,0.3,0.355,
184,0.3,0.285,
185,0.3,0.32,
186,0.3,0.325,
187,0.3,0.28,
188,0.3,0.285,
189,0.3,0.28,
190,0.3,0.28,
191,0.3,0.33,
192,0.3,0.33,
193,0.3,0.315,
194,0.3,0.315,
195,0.3,0.305,
196,0.3,0.34,
197,0.3,0.29,
198,0.3,0.315,
199,0.3,0.315,
200,0.3,0.285,
1,0.4,0.345,
2,0.4,0.43,
3,0.4,0.33,
4,0.4,0.405,
5,0.4,0.415,
6,0.4,0.42,
7,0.4,0.385,
8,0.4,0.39,
9,0.4,0.445,
10,0.4,0.5,
11,0.4,0.39,
12,0.4,0.415,
13,0.4,0.415,
14,0.4,0.4,
15,0.4,0.34,
16,0.4,0.395,
17,0.4,0.42,
18,0.4,0.385,
19,0.4,0.37,
20,0.4,0.405,
21,0.4,0.425,
22,0.4,0.375,
23,0.4,0.415,
24,0.4,0.415,
25,0.4,0.36,
26,0.4,0.385,
27,0.4,0.41,
28,0.4,0.365,
29,0.4,0.375,
30,0.4,0.36,
31,0.4,0.34,
32,0.4,0.325,
33,0.4,0.335,
34,0.4,0.43,
35,0.4,0.49,
36,0.4,0.36,
37,0.4,0.41,
38,0.4,0.37,
39,0.4,0.395,
40,0.4,0.46,
41,0.4,0.42,
42,0.4,0.42,
43,0.4,0.41,
44,0.4,0.42,
45,0.4,0.395,
46,0.4,0.385,
47,0.4,0.345,
48,0.4,0.385,
49,0.4,0.43,
50,0.4,0.415,
51,0.4,0.395,
52,0.4,0.42,
53,0.4,0.45,
54,0.4,0.415,
55,0.4,0.395,
56,0.4,0.405,
57,0.4,0.365,
58,0.4,0.44,
59,0.4,0.4,
60,0.4,0.345,
61,0.4,0.37,
62,0.4,0.38,
63,0.4,0.445,
64,0.4,0.37,
65,0.4,0.38,
66,0.4,0.31,
67,0.4,0.425,
68,0.4,0.34,
69,0.4,0.325,
70,0.4,0.47,
71,0.4,0.4,
72,0.4,0.44,
73,0.4,0.42,
74,0.4,0.395,
75,0.4,0.39,
76,0.4,0.4,
77,0.4,0.4,
78,0.4,0.385,
79,0.4,0.385,
80,0.4,0.435,
81,0.4,0.38,
82,0.4,0.38,
83,0.4,0.43,
84,0.4,0.405,
85,0.4,0.46,
86,0.4,0.385,
87,0.4,0.385,
88,0.4,0.44,
89,0.4,0.35,
90,0.4,0.345,
91,0.4,0.415,
92,0.4,0.365,
93,0.4,0.345,
94,0.4,0.405,
95,0.4,0.42,
96,0.4,0.355,
97,0.4,0.355,
98,0.4,0.425,
99,0.4,0.33,
100,0.4,0.395,
101,0.4,0.43,
102,0.4,0.445,
103,0.4,0.41,
104,0.4,0.36,
105,0.4,0.35,
106,0.4,0.405,
107,0.4,0.37,
108,0.4,0.4,
109,0.4,0.31,
110,0.4,0.41,
111,0.4,0.44,
112,0.4,0.34,
113,0.4,0.38,
114,0.4,0.445,
115,0.4,0.395,
116,0.4,0.445,
117,0.4,0.37,
118,0.4,0.39,
119,0.4,0.38,
