benchmark,expansion,density,iterations,run_number,symbols,symbol_size,testcase,type,throughput,goodput,unit,
binary,1,0.200000,1,1,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,2,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,3,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,4,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,5,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,6,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,7,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,8,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,1,0.200000,1,9,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,10,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,11,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,12,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,13,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,14,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,15,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,16,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,17,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,18,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,19,16,1600,FulcrumInner,encoder,656.410256,656.410256,Mbs,
binary,1,0.200000,1,20,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,21,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,22,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,23,16,1600,FulcrumInner,encoder,673.684211,673.684211,Mbs,
binary,1,0.200000,1,24,16,1600,FulcrumInner,encoder,522.448980,522.448980,Mbs,
binary,1,0.200000,1,25,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,1,0.200000,1,26,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,27,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,28,16,1600,FulcrumInner,encoder,656.410256,656.410256,Mbs,
binary,1,0.200000,1,29,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,30,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,31,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,32,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,33,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,34,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,35,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,36,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,37,16,1600,FulcrumInner,encoder,624.390244,624.390244,Mbs,
binary,1,0.200000,1,38,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,39,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,40,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,41,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,42,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,43,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,44,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,45,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,46,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,47,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,48,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,49,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,50,16,1600,FulcrumInner,encoder,948.148148,948.148148,Mbs,
binary,1,0.200000,1,51,16,1600,FulcrumInner,encoder,522.448980,522.448980,Mbs,
binary,1,0.200000,1,52,16,1600,FulcrumInner,encoder,656.410256,656.410256,Mbs,
binary,1,0.200000,1,53,16,1600,FulcrumInner,encoder,581.818182,581.818182,Mbs,
binary,1,0.200000,1,54,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,55,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,56,16,1600,FulcrumInner,encoder,673.684211,673.684211,Mbs,
binary,1,0.200000,1,57,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,58,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,59,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,60,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,61,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,62,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
