benchmark,expansion,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit
Binary,1,577.631,232,0,1600,16,FulcrumInner,577.631,encoder,MB/s
Binary,1,577.684,235,1,1600,16,FulcrumInner,577.684,encoder,MB/s
Binary,1,621.359,245,2,1600,16,FulcrumInner,621.359,encoder,MB/s
Binary,1,617.992,245,3,1600,16,FulcrumInner,617.992,encoder,MB/s
Binary,1,622.531,245,4,1600,16,FulcrumInner,622.531,encoder,MB/s
Binary,1,616.898,245,5,1600,16,FulcrumInner,616.898,encoder,MB/s
Binary,1,602.903,245,6,1600,16,FulcrumInner,602.903,encoder,MB/s
Binary,1,611.008,245,7,1600,16,FulcrumInner,611.008,encoder,MB/s
Binary,1,618.297,245,8,1600,16,FulcrumInner,618.297,encoder,MB/s
Binary,1,611.843,245,9,1600,16,FulcrumInner,611.843,encoder,MB/s
Binary,1,590.973,245,10,1600,16,FulcrumInner,590.973,encoder,MB/s
Binary,1,623.026,245,11,1600,16,FulcrumInner,623.026,encoder,MB/s
Binary,1,617.836,246,12,1600,16,FulcrumInner,617.836,encoder,MB/s
Binary,1,617.836,246,13,1600,16,FulcrumInner,617.836,encoder,MB/s
Binary,1,618.139,246,14,1600,16,FulcrumInner,618.139,encoder,MB/s
Binary,1,615.842,246,15,1600,16,FulcrumInner,615.842,encoder,MB/s
Binary,1,604.26,246,16,1600,16,FulcrumInner,604.26,encoder,MB/s
Binary,1,605.48,246,17,1600,16,FulcrumInner,605.48,encoder,MB/s
Binary,1,610.528,246,18,1600,16,FulcrumInner,610.528,encoder,MB/s
Binary,1,616.565,246,19,1600,16,FulcrumInner,616.565,encoder,MB/s
Binary,1,616.807,246,20,1600,16,FulcrumInner,616.807,encoder,MB/s
Binary,1,613.383,246,21,1600,16,FulcrumInner,613.383,encoder,MB/s
Binary,1,619.538,246,22,1600,16,FulcrumInner,619.538,encoder,MB/s
Binary,1,619.05,246,23,1600,16,FulcrumInner,619.05,encoder,MB/s
Binary,1,612.845,246,24,1600,16,FulcrumInner,612.845,encoder,MB/s
Binary,1,618.139,246,25,1600,16,FulcrumInner,618.139,encoder,MB/s
Binary,1,617.715,246,26,1600,16,FulcrumInner,617.715,encoder,MB/s
Binary,1,619.477,246,27,1600,16,FulcrumInner,619.477,encoder,MB/s
Binary,1,613.024,246,28,1600,16,FulcrumInner,613.024,encoder,MB/s
Binary,1,618.807,246,29,1600,16,FulcrumInner,618.807,encoder,MB/s
Binary,1,612.131,246,30,1600,16,FulcrumInner,612.131,encoder,MB/s
Binary,1,602.93,246,31,1600,16,FulcrumInner,602.93,encoder,MB/s
Binary,1,612.309,246,32,1600,16,FulcrumInner,612.309,encoder,MB/s
Binary,1,591.546,246,33,1600,16,FulcrumInner,591.546,encoder,MB/s
Binary,1,608.464,246,34,1600,16,FulcrumInner,608.464,encoder,MB/s
Binary,1,610.469,246,35,1600,16,FulcrumInner,610.469,encoder,MB/s
Binary,1,618.321,246,36,1600,16,FulcrumInner,618.321,encoder,MB/s
Binary,1,592.715,246,37,1600,16,FulcrumInner,592.715,encoder,MB/s
Binary,1,618.139,246,38,1600,16,FulcrumInner,618.139,encoder,MB/s
Binary,1,610.824,246,39,1600,16,FulcrumInner,610.824,encoder,MB/s
Binary,1,625.072,246,40,1600,16,FulcrumInner,625.072,encoder,MB/s
