benchmark,expansion,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit
Binary,1,617.836,246,0,1600,16,FulcrumInner,617.836,encoder,MB/s
Binary,1,616.626,246,1,1600,16,FulcrumInner,616.626,encoder,MB/s
Binary,1,600.4,246,2,1600,16,FulcrumInner,600.4,encoder,MB/s
Binary,1,616.143,246,3,1600,16,FulcrumInner,616.143,encoder,MB/s
Binary,1,591.991,246,4,1600,16,FulcrumInner,591.991,encoder,MB/s
Binary,1,613.442,246,5,1600,16,FulcrumInner,613.442,encoder,MB/s
Binary,1,608.17,246,6,1600,16,FulcrumInner,608.17,encoder,MB/s
Binary,1,615.962,246,7,1600,16,FulcrumInner,615.962,encoder,MB/s
Binary,1,623.834,246,8,1600,16,FulcrumInner,623.834,encoder,MB/s
Binary,1,615.481,246,9,1600,16,FulcrumInner,615.481,encoder,MB/s
Binary,1,623.772,246,10,1600,16,FulcrumInner,623.772,encoder,MB/s
Binary,1,623.463,246,11,1600,16,FulcrumInner,623.463,encoder,MB/s
Binary,1,620.392,246,12,1600,16,FulcrumInner,620.392,encoder,MB/s
Binary,1,619.355,246,13,1600,16,FulcrumInner,619.355,encoder,MB/s
Binary,1,617.17,246,14,1600,16,FulcrumInner,617.17,encoder,MB/s
Binary,1,617.23,246,15,1600,16,FulcrumInner,617.23,encoder,MB/s
Binary,1,620.759,246,16,1600,16,FulcrumInner,620.759,encoder,MB/s
Binary,1,614.52,246,17,1600,16,FulcrumInner,614.52,encoder,MB/s
Binary,1,624.514,246,18,1600,16,FulcrumInner,624.514,encoder,MB/s
Binary,1,622.415,246,19,1600,16,FulcrumInner,622.415,encoder,MB/s
Binary,1,622.292,246,20,1600,16,FulcrumInner,622.292,encoder,MB/s
Binary,1,622.846,246,21,1600,16,FulcrumInner,622.846,encoder,MB/s
Binary,1,624.7,246,22,1600,16,FulcrumInner,624.7,encoder,MB/s
Binary,1,623.278,246,23,1600,16,FulcrumInner,623.278,encoder,MB/s
Binary,1,623.586,246,24,1600,16,FulcrumInner,623.586,encoder,MB/s
Binary,1,625.01,246,25,1600,16,FulcrumInner,625.01,encoder,MB/s
Binary,1,626.128,246,26,1600,16,FulcrumInner,626.128,encoder,MB/s
Binary,1,616.565,246,27,1600,16,FulcrumInner,616.565,encoder,MB/s
Binary,1,624.638,246,28,1600,16,FulcrumInner,624.638,encoder,MB/s
Binary,1,624.328,246,29,1600,16,FulcrumInner,624.328,encoder,MB/s
Binary,2,569.677,225,0,1600,16,FulcrumInner,569.677,encoder,MB/s
Binary,2,591.002,234,1,1600,16,FulcrumInner,591.002,encoder,MB/s
Binary,2,595.763,234,2,1600,16,FulcrumInner,595.763,encoder,MB/s
Binary,2,593.991,234,3,1600,16,FulcrumInner,593.991,encoder,MB/s
Binary,2,588.159,234,4,1600,16,FulcrumInner,588.159,encoder,MB/s
Binary,2,590.245,234,5,1600,16,FulcrumInner,590.245,encoder,MB/s
Binary,2,598.98,234,6,1600,16,FulcrumInner,598.98,encoder,MB/s
Binary,2,595.231,235,7,1600,16,FulcrumInner,595.231,encoder,MB/s
Binary,2,593.411,235,8,1600,16,FulcrumInner,593.411,encoder,MB/s
Binary,2,602.894,236,9,1600,16,FulcrumInner,602.894,encoder,MB/s
Binary,2,592.024,236,10,1600,16,FulcrumInner,592.024,encoder,MB/s
Binary,2,598.119,236,11,1600,16,FulcrumInner,598.119,encoder,MB/s
Binary,2,586.734,236,12,1600,16,FulcrumInner,586.734,encoder,MB/s
Binary,2,588.907,236,13,1600,16,FulcrumInner,588.907,encoder,MB/s
Binary,2,595.114,236,14,1600,16,FulcrumInner,595.114,encoder,MB/s
Binary,2,590.634,236,15,1600,16,FulcrumInner,590.634,encoder,MB/s
Binary,2,587.819,236,16,1600,16,FulcrumInner,587.819,encoder,MB/s
Binary,2,596.937,236,17,1600,16,FulcrumInner,596.937,encoder,MB/s
Binary,2,602.834,236,18,1600,16,FulcrumInner,602.834,encoder,MB/s
Binary,2,599.365,236,19,1600,16,FulcrumInner,599.365,encoder,MB/s
Binary,2,600.02,236,20,1600,16,FulcrumInner,600.02,encoder,MB/s
Binary,2,590,236,21,1600,16,FulcrumInner,590,encoder,MB/s
Binary,2,599.009,236,22,1600,16,FulcrumInner,599.009,encoder,MB/s
Binary,2,593.827,236,23,1600,16,FulcrumInner,593.827,encoder,MB/s
Binary,2,599.009,236,24,1600,16,FulcrumInner,599.009,encoder,MB/s
Binary,2,592.314,236,25,1600,16,FulcrumInner,592.314,encoder,MB/s
Binary,2,599.663,236,26,1600,16,FulcrumInner,599.663,encoder,MB/s
Binary,2,597.232,236,27,1600,16,FulcrumInner,597.232,encoder,MB/s
Binary,2,597.232,236,28,1600,16,FulcrumInner,597.232,encoder,MB/s
Binary,2,592.953,236,29,1600,16,FulcrumInner,592.953,encoder,MB/s
Binary,3,531.579,221,0,1600,16,FulcrumInner,531.579,encoder,MB/s
Binary,3,542.577,225,1,1600,16,FulcrumInner,542.577,encoder,MB/s
Binary,3,544.321,225,2,1600,16,FulcrumInner,544.321,encoder,MB/s
Binary,3,571.882,225,3,1600,16,FulcrumInner,571.882,encoder,MB/s
Binary,3,571.032,225,4,1600,16,FulcrumInner,571.032,encoder,MB/s
Binary,3,574.277,225,5,1600,16,FulcrumInner,574.277,encoder,MB/s
Binary,3,568.103,225,6,1600,16,FulcrumInner,568.103,encoder,MB/s
Binary,3,571.542,225,7,1600,16,FulcrumInner,571.542,encoder,MB/s
Binary,3,569.508,225,8,1600,16,FulcrumInner,569.508,encoder,MB/s
Binary,3,543.242,225,9,1600,16,FulcrumInner,543.242,encoder,MB/s
Binary,3,552.412,225,10,1600,16,FulcrumInner,552.412,encoder,MB/s
Binary,3,571.079,226,11,1600,16,FulcrumInner,571.079,encoder,MB/s
Binary,3,568.163,226,12,1600,16,FulcrumInner,568.163,encoder,MB/s
Binary,3,572.378,226,13,1600,16,FulcrumInner,572.378,encoder,MB/s
Binary,3,571.079,226,14,1600,16,FulcrumInner,571.079,encoder,MB/s
Binary,3,569.617,226,15,1600,16,FulcrumInner,569.617,encoder,MB/s
Binary,3,577.175,226,16,1600,16,FulcrumInner,577.175,encoder,MB/s
Binary,3,571.926,226,17,1600,16,FulcrumInner,571.926,encoder,MB/s
Binary,3,569.561,226,18,1600,16,FulcrumInner,569.561,encoder,MB/s
Binary,3,567.717,226,19,1600,16,FulcrumInner,567.717,encoder,MB/s
Binary,3,567.216,226,20,1600,16,FulcrumInner,567.216,encoder,MB/s
Binary,3,567.216,226,21,1600,16,FulcrumInner,567.216,encoder,MB/s
Binary,3,572.194,227,22,1600,16,FulcrumInner,572.194,encoder,MB/s
Binary,3,571.125,227,23,1600,16,FulcrumInner,571.125,encoder,MB/s
Binary,3,571.912,227,24,1600,16,FulcrumInner,571.912,encoder,MB/s
Binary,3,570.173,227,25,1600,16,FulcrumInner,570.173,encoder,MB/s
Binary,3,559.415,227,26,1600,16,FulcrumInner,559.415,encoder,MB/s
Binary,3,577.826,227,27,1600,16,FulcrumInner,577.826,encoder,MB/s
Binary,3,564.907,227,28,1600,16,FulcrumInner,564.907,encoder,MB/s
Binary,3,570.565,227,29,1600,16,FulcrumInner,570.565,encoder,MB/s
Binary,4,521.805,215,0,1600,16,FulcrumInner,521.805,encoder,MB/s
Binary,4,539.238,215,1,1600,16,FulcrumInner,539.238,encoder,MB/s
Binary,4,550.4,215,2,1600,16,FulcrumInner,550.4,encoder,MB/s
Binary,4,544.411,215,3,1600,16,FulcrumInner,544.411,encoder,MB/s
Binary,4,548.082,216,4,1600,16,FulcrumInner,548.082,encoder,MB/s
Binary,4,542.543,216,5,1600,16,FulcrumInner,542.543,encoder,MB/s
Binary,4,550.209,216,6,1600,16,FulcrumInner,550.209,encoder,MB/s
Binary,4,525.577,216,7,1600,16,FulcrumInner,525.577,encoder,MB/s
Binary,4,544.252,216,8,1600,16,FulcrumInner,544.252,encoder,MB/s
Binary,4,541.481,216,9,1600,16,FulcrumInner,541.481,encoder,MB/s
Binary,4,539.421,216,10,1600,16,FulcrumInner,539.421,encoder,MB/s
Binary,4,538.265,216,11,1600,16,FulcrumInner,538.265,encoder,MB/s
Binary,4,546.673,216,12,1600,16,FulcrumInner,546.673,encoder,MB/s
Binary,4,546.133,216,13,1600,16,FulcrumInner,546.133,encoder,MB/s
Binary,4,550.045,216,14,1600,16,FulcrumInner,550.045,encoder,MB/s
Binary,4,547.756,216,15,1600,16,FulcrumInner,547.756,encoder,MB/s
Binary,4,545.325,216,16,1600,16,FulcrumInner,545.325,encoder,MB/s
Binary,4,550.264,216,17,1600,16,FulcrumInner,550.264,encoder,MB/s
Binary,4,547.431,216,18,1600,16,FulcrumInner,547.431,encoder,MB/s
Binary,4,541.322,216,19,1600,16,FulcrumInner,541.322,encoder,MB/s
Binary,4,540.053,216,20,1600,16,FulcrumInner,540.053,encoder,MB/s
Binary,4,544.198,216,21,1600,16,FulcrumInner,544.198,encoder,MB/s
Binary,4,546.403,216,22,1600,16,FulcrumInner,546.403,encoder,MB/s
Binary,4,552.022,216,23,1600,16,FulcrumInner,552.022,encoder,MB/s
Binary,4,519.406,216,24,1600,16,FulcrumInner,519.406,encoder,MB/s
Binary,4,551.911,216,25,1600,16,FulcrumInner,551.911,encoder,MB/s
Binary,4,551.416,216,26,1600,16,FulcrumInner,551.416,encoder,MB/s
Binary,4,547.811,216,27,1600,16,FulcrumInner,547.811,encoder,MB/s
Binary,4,549.444,216,28,1600,16,FulcrumInner,549.444,encoder,MB/s
Binary,4,548.789,216,29,1600,16,FulcrumInner,548.789,encoder,MB/s
