benchmark,expansion,iterations,run_number,symbols,symbol_size,testcase,type,throughput,goodput,unit
binary,1,1,1,16,1600,FulcrumInner,encoder,800,800,Mbs
binary,1,1,2,16,1600,FulcrumInner,encoder,752.941176,752.941176,Mbs
binary,1,1,3,16,1600,FulcrumInner,encoder,800,800,Mbs
binary,1,1,4,16,1600,FulcrumInner,encoder,800,800,Mbs
binary,1,1,5,16,1600,FulcrumInner,encoder,775.757576,775.757576,Mbs
binary,1,1,6,16,1600,FulcrumInner,encoder,800,800,Mbs
binary,1,1,7,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs
binary,1,1,8,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs
binary,1,1,9,16,1600,FulcrumInner,encoder,624.390244,624.390244,Mbs
binary,1,1,10,16,1600,FulcrumInner,encoder,800,800,Mbs
binary,1,1,11,16,1600,FulcrumInner,encoder,731.428571,731.428571,Mbs
binary,1,1,12,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs
binary,1,1,13,16,1600,FulcrumInner,encoder,609.52381,609.52381,Mbs
binary,1,1,14,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs
binary,1,1,15,16,1600,FulcrumInner,encoder,800,800,Mbs
binary,1,1,16,16,1600,FulcrumInner,encoder,800,800,Mbs
binary,1,1,17,16,1600,FulcrumInner,encoder,775.757576,775.757576,Mbs
binary,1,1,18,16,1600,FulcrumInner,encoder,800,800,Mbs
binary,1,1,19,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs
binary,1,1,20,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs
binary,1,1,21,16,1600,FulcrumInner,encoder,640,640,Mbs
binary,1,1,22,16,1600,FulcrumInner,encoder,800,800,Mbs
binary,1,1,23,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs
binary,1,1,24,16,1600,FulcrumInner,encoder,775.757576,775.757576,Mbs
binary,1,1,25,16,1600,FulcrumInner,encoder,775.757576,775.757576,Mbs
binary,1,1,26,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs
binary,1,1,27,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs
binary,1,1,28,16,1600,FulcrumInner,encoder,775.757576,775.757576,Mbs
binary,1,1,29,16,1600,FulcrumInner,encoder,800,800,Mbs
binary,1,1,30,16,1600,FulcrumInner,encoder,775.757576,775.757576,Mbs
binary,1,1,1,16,1600,FulcrumInner,decoder,1768.421053,1347.368421,Mbs
binary,1,1,2,16,1600,FulcrumInner,decoder,1694.117647,1505.882353,Mbs
binary,1,1,3,16,1600,FulcrumInner,decoder,1694.117647,1505.882353,Mbs
binary,1,1,4,16,1600,FulcrumInner,decoder,1700,1600,Mbs
binary,1,1,5,16,1600,FulcrumInner,decoder,1852.631579,1347.368421,Mbs
binary,1,1,6,16,1600,FulcrumInner,decoder,1813.333333,1706.666667,Mbs
binary,1,1,7,16,1600,FulcrumInner,decoder,1125.925926,948.148148,Mbs
binary,1,1,8,16,1600,FulcrumInner,decoder,1813.333333,1706.666667,Mbs
binary,1,1,9,16,1600,FulcrumInner,decoder,960,853.333333,Mbs
binary,1,1,10,16,1600,FulcrumInner,decoder,1694.117647,1505.882353,Mbs
binary,1,1,11,16,1600,FulcrumInner,decoder,1694.117647,1505.882353,Mbs
binary,1,1,12,16,1600,FulcrumInner,decoder,1600,1505.882353,Mbs
binary,1,1,13,16,1600,FulcrumInner,decoder,1046.153846,984.615385,Mbs
