benchmark,density,expansion,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit
Binary,0.1,1,725.793,287,0,1600,16,FulcrumInner,725.793,encoder,MB/s
Binary,0.1,1,728.414,290,1,1600,16,FulcrumInner,728.414,encoder,MB/s
Binary,0.1,1,730.996,290,2,1600,16,FulcrumInner,730.996,encoder,MB/s
Binary,0.1,1,724.929,290,3,1600,16,FulcrumInner,724.929,encoder,MB/s
Binary,0.1,1,706.846,290,4,1600,16,FulcrumInner,706.846,encoder,MB/s
Binary,0.1,1,730.637,290,5,1600,16,FulcrumInner,730.637,encoder,MB/s
Binary,0.1,1,706.644,290,6,1600,16,FulcrumInner,706.644,encoder,MB/s
Binary,0.1,1,733.959,290,7,1600,16,FulcrumInner,733.959,encoder,MB/s
Binary,0.1,1,730.781,290,8,1600,16,FulcrumInner,730.781,encoder,MB/s
Binary,0.1,1,737.752,290,9,1600,16,FulcrumInner,737.752,encoder,MB/s
Binary,0.1,1,740.253,290,10,1600,16,FulcrumInner,740.253,encoder,MB/s
Binary,0.1,1,732.439,290,11,1600,16,FulcrumInner,732.439,encoder,MB/s
Binary,0.1,1,731.357,290,12,1600,16,FulcrumInner,731.357,encoder,MB/s
Binary,0.1,1,738.706,290,13,1600,16,FulcrumInner,738.706,encoder,MB/s
Binary,0.1,1,726.135,290,14,1600,16,FulcrumInner,726.135,encoder,MB/s
Binary,0.1,1,730.565,290,15,1600,16,FulcrumInner,730.565,encoder,MB/s
Binary,0.1,1,735.486,290,16,1600,16,FulcrumInner,735.486,encoder,MB/s
Binary,0.1,1,720.637,290,17,1600,16,FulcrumInner,720.637,encoder,MB/s
Binary,0.1,1,729.99,290,18,1600,16,FulcrumInner,729.99,encoder,MB/s
Binary,0.1,1,727.915,290,19,1600,16,FulcrumInner,727.915,encoder,MB/s
Binary,0.1,1,732.511,290,20,1600,16,FulcrumInner,732.511,encoder,MB/s
Binary,0.1,1,731.573,290,21,1600,16,FulcrumInner,731.573,encoder,MB/s
Binary,0.1,1,730.996,290,22,1600,16,FulcrumInner,730.996,encoder,MB/s
Binary,0.1,1,704.699,290,23,1600,16,FulcrumInner,704.699,encoder,MB/s
Binary,0.1,1,730.349,290,24,1600,16,FulcrumInner,730.349,encoder,MB/s
Binary,0.1,1,732.15,290,25,1600,16,FulcrumInner,732.15,encoder,MB/s
Binary,0.1,1,732.728,290,26,1600,16,FulcrumInner,732.728,encoder,MB/s
Binary,0.1,1,710.227,290,27,1600,16,FulcrumInner,710.227,encoder,MB/s
Binary,0.1,1,730.062,290,28,1600,16,FulcrumInner,730.062,encoder,MB/s
Binary,0.1,1,729.273,290,29,1600,16,FulcrumInner,729.273,encoder,MB/s
Binary,0.1,2,674.323,278,0,1600,16,FulcrumInner,674.323,encoder,MB/s
Binary,0.1,2,676.79,281,1,1600,16,FulcrumInner,676.79,encoder,MB/s
Binary,0.1,2,707.614,281,2,1600,16,FulcrumInner,707.614,encoder,MB/s
Binary,0.1,2,714.856,281,3,1600,16,FulcrumInner,714.856,encoder,MB/s
Binary,0.1,2,714.218,281,4,1600,16,FulcrumInner,714.218,encoder,MB/s
Binary,0.1,2,717.616,285,5,1600,16,FulcrumInner,717.616,encoder,MB/s
Binary,0.1,2,717.404,285,6,1600,16,FulcrumInner,717.404,encoder,MB/s
Binary,0.1,2,710.073,285,7,1600,16,FulcrumInner,710.073,encoder,MB/s
Binary,0.1,2,719.811,285,8,1600,16,FulcrumInner,719.811,encoder,MB/s
Binary,0.1,2,713.057,285,9,1600,16,FulcrumInner,713.057,encoder,MB/s
Binary,0.1,2,714.734,285,10,1600,16,FulcrumInner,714.734,encoder,MB/s
Binary,0.1,2,718.393,285,11,1600,16,FulcrumInner,718.393,encoder,MB/s
Binary,0.1,2,714.104,285,12,1600,16,FulcrumInner,714.104,encoder,MB/s
Binary,0.1,2,716.418,285,13,1600,16,FulcrumInner,716.418,encoder,MB/s
Binary,0.1,2,715.856,285,14,1600,16,FulcrumInner,715.856,encoder,MB/s
Binary,0.1,2,700.663,285,15,1600,16,FulcrumInner,700.663,encoder,MB/s
Binary,0.1,2,714.454,285,16,1600,16,FulcrumInner,714.454,encoder,MB/s
Binary,0.1,2,721.448,285,17,1600,16,FulcrumInner,721.448,encoder,MB/s
Binary,0.1,2,716.981,285,18,1600,16,FulcrumInner,716.981,encoder,MB/s
Binary,0.1,2,707.8,285,19,1600,16,FulcrumInner,707.8,encoder,MB/s
