benchmark,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit
Binary,577.941,227,0,1600,16,FullRLNC,577.941,encoder,MB/s
Binary,708.241,281,1,1600,16,FullRLNC,708.241,encoder,MB/s
Binary,948.432,371,2,1600,16,FullRLNC,948.432,encoder,MB/s
Binary,1006.3,398,3,1600,16,FullRLNC,1006.3,encoder,MB/s
Binary,1004.59,410,4,1600,16,FullRLNC,1004.59,encoder,MB/s
Binary,1026.4,410,5,1600,16,FullRLNC,1026.4,encoder,MB/s
Binary,1011.21,411,6,1600,16,FullRLNC,1011.21,encoder,MB/s
Binary,1034.57,411,7,1600,16,FullRLNC,1034.57,encoder,MB/s
Binary,1050.27,411,8,1600,16,FullRLNC,1050.27,encoder,MB/s
Binary,1003.49,411,9,1600,16,FullRLNC,1003.49,encoder,MB/s
Binary,643.924,279,0,1600,16,FullRLNC,764.659,decoder,MB/s
Binary,697.909,279,1,1600,16,FullRLNC,741.528,decoder,MB/s
Binary,702.094,279,2,1600,16,FullRLNC,702.094,decoder,MB/s
Binary,705.144,279,3,1600,16,FullRLNC,705.144,decoder,MB/s
Binary,668.138,279,4,1600,16,FullRLNC,709.897,decoder,MB/s
Binary,599.144,279,5,1600,16,FullRLNC,786.377,decoder,MB/s
Binary,702.923,279,6,1600,16,FullRLNC,746.856,decoder,MB/s
Binary,702.715,279,7,1600,16,FullRLNC,746.635,decoder,MB/s
Binary,660.233,279,8,1600,16,FullRLNC,742.762,decoder,MB/s
Binary,674.575,279,9,1600,16,FullRLNC,758.897,decoder,MB/s
Binary,656.541,129,0,1600,32,FullRLNC,656.541,encoder,MB/s
Binary,657.849,129,1,1600,32,FullRLNC,657.849,encoder,MB/s
Binary,658.504,129,2,1600,32,FullRLNC,658.504,encoder,MB/s
Binary,658.308,129,3,1600,32,FullRLNC,658.308,encoder,MB/s
Binary,661.039,130,4,1600,32,FullRLNC,661.039,encoder,MB/s
Binary,662.289,130,5,1600,32,FullRLNC,662.289,encoder,MB/s
Binary,663.874,130,6,1600,32,FullRLNC,663.874,encoder,MB/s
Binary,650.381,130,7,1600,32,FullRLNC,650.381,encoder,MB/s
Binary,665.267,130,8,1600,32,FullRLNC,665.267,encoder,MB/s
Binary,656.669,130,9,1600,32,FullRLNC,656.669,encoder,MB/s
Binary,497.277,102,0,1600,32,FullRLNC,559.436,decoder,MB/s
Binary,512.348,103,1,1600,32,FullRLNC,560.381,decoder,MB/s
Binary,523.247,107,2,1600,32,FullRLNC,555.95,decoder,MB/s
Binary,515.76,107,3,1600,32,FullRLNC,547.995,decoder,MB/s
Binary,518.935,107,4,1600,32,FullRLNC,535.152,decoder,MB/s
Binary,394.356,107,5,1600,32,FullRLNC,431.327,decoder,MB/s
Binary,208.947,41,6,1600,32,FullRLNC,274.243,decoder,MB/s
Binary,358.324,71,7,1600,32,FullRLNC,391.917,decoder,MB/s
Binary,242.17,83,8,1600,32,FullRLNC,242.17,decoder,MB/s
Binary,258.554,83,9,1600,32,FullRLNC,258.554,decoder,MB/s
Binary,346.946,34,0,1600,64,FullRLNC,346.946,encoder,MB/s
Binary,348.57,35,1,1600,64,FullRLNC,348.57,encoder,MB/s
Binary,355.238,35,2,1600,64,FullRLNC,355.238,encoder,MB/s
Binary,343.049,36,3,1600,64,FullRLNC,343.049,encoder,MB/s
Binary,354.769,36,4,1600,64,FullRLNC,354.769,encoder,MB/s
Binary,340.514,36,5,1600,64,FullRLNC,340.514,encoder,MB/s
Binary,343.464,36,6,1600,64,FullRLNC,343.464,encoder,MB/s
Binary,364.413,36,7,1600,64,FullRLNC,364.413,encoder,MB/s
Binary,351.521,36,8,1600,64,FullRLNC,351.521,encoder,MB/s
Binary,361.518,36,9,1600,64,FullRLNC,361.518,encoder,MB/s
Binary,287.557,29,0,1600,64,FullRLNC,296.543,decoder,MB/s
Binary,281.518,31,1,1600,64,FullRLNC,294.714,decoder,MB/s
Binary,286.835,31,2,1600,64,FullRLNC,304.762,decoder,MB/s
Binary,289.16,31,3,1600,64,FullRLNC,298.196,decoder,MB/s
Binary,289.134,31,4,1600,64,FullRLNC,298.169,decoder,MB/s
Binary,299.726,31,5,1600,64,FullRLNC,304.409,decoder,MB/s
Binary,284.113,31,6,1600,64,FullRLNC,297.431,decoder,MB/s
Binary,299.839,31,7,1600,64,FullRLNC,304.524,decoder,MB/s
Binary,290.616,31,8,1600,64,FullRLNC,304.239,decoder,MB/s
Binary,298.655,31,9,1600,64,FullRLNC,298.655,decoder,MB/s
Binary,180.883,9,0,1600,128,FullRLNC,180.883,encoder,MB/s
Binary,179.649,9,1,1600,128,FullRLNC,179.649,encoder,MB/s
Binary,182.174,10,2,1600,128,FullRLNC,182.174,encoder,MB/s
Binary,186.844,10,3,1600,128,FullRLNC,186.844,encoder,MB/s
Binary,184.521,10,4,1600,128,FullRLNC,184.521,encoder,MB/s
Binary,188.235,10,5,1600,128,FullRLNC,188.235,encoder,MB/s
Binary,187.735,10,6,1600,128,FullRLNC,187.735,encoder,MB/s
Binary,178.787,10,7,1600,128,FullRLNC,178.787,encoder,MB/s
Binary,189.735,10,8,1600,128,FullRLNC,189.735,encoder,MB/s
Binary,180.616,10,9,1600,128,FullRLNC,180.616,encoder,MB/s
Binary,157.872,8,0,1600,128,FullRLNC,159.106,decoder,MB/s
Binary,153.855,8,1,1600,128,FullRLNC,156.259,decoder,MB/s
Binary,155.078,8,2,1600,128,FullRLNC,156.29,decoder,MB/s
Binary,156.905,8,3,1600,128,FullRLNC,158.131,decoder,MB/s
Binary,154.144,8,4,1600,128,FullRLNC,155.349,decoder,MB/s
Binary,152.822,8,5,1600,128,FullRLNC,154.015,decoder,MB/s
Binary,158.284,8,6,1600,128,FullRLNC,160.757,decoder,MB/s
Binary,148.81,8,7,1600,128,FullRLNC,149.973,decoder,MB/s
Binary,155.934,8,8,1600,128,FullRLNC,157.152,decoder,MB/s
Binary,153.826,8,9,1600,128,FullRLNC,153.826,decoder,MB/s
Binary,91.6605,3,0,1600,256,FullRLNC,91.6605,encoder,MB/s
Binary,94.2982,3,1,1600,256,FullRLNC,94.2982,encoder,MB/s
Binary,90.1541,3,2,1600,256,FullRLNC,90.1541,encoder,MB/s
Binary,94.06,3,3,1600,256,FullRLNC,94.06,encoder,MB/s
Binary,91.7905,3,4,1600,256,FullRLNC,91.7905,encoder,MB/s
Binary,91.3334,3,5,1600,256,FullRLNC,91.3334,encoder,MB/s
Binary,93.9091,3,6,1600,256,FullRLNC,93.9091,encoder,MB/s
Binary,88.7348,3,7,1600,256,FullRLNC,88.7348,encoder,MB/s
Binary,94.2187,3,8,1600,256,FullRLNC,94.2187,encoder,MB/s
Binary,91.2182,3,9,1600,256,FullRLNC,91.2182,encoder,MB/s
Binary,79.0784,3,0,1600,256,FullRLNC,79.0784,decoder,MB/s
Binary,80.5242,3,1,1600,256,FullRLNC,80.5242,decoder,MB/s
Binary,80.2822,3,2,1600,256,FullRLNC,80.5958,decoder,MB/s
Binary,81.6533,3,3,1600,256,FullRLNC,81.9722,decoder,MB/s
Binary,82.3151,3,4,1600,256,FullRLNC,82.9582,decoder,MB/s
