benchmark,expansion,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit
Binary,1,620.499,245,0,1600,16,FulcrumInner,620.499,encoder,MB/s
Binary,1,623.955,245,1,1600,16,FulcrumInner,623.955,encoder,MB/s
Binary,1,626.323,245,2,1600,16,FulcrumInner,626.323,encoder,MB/s
Binary,1,622.222,245,3,1600,16,FulcrumInner,622.222,encoder,MB/s
Binary,1,609.935,247,4,1600,16,FulcrumInner,609.935,encoder,MB/s
Binary,2,595.113,235,0,1600,16,FulcrumInner,595.113,encoder,MB/s
Binary,2,609.219,238,1,1600,16,FulcrumInner,609.219,encoder,MB/s
Binary,2,597.216,238,2,1600,16,FulcrumInner,597.216,encoder,MB/s
Binary,2,602.055,238,3,1600,16,FulcrumInner,602.055,encoder,MB/s
Binary,2,605.526,238,4,1600,16,FulcrumInner,605.526,encoder,MB/s
Binary,3,560.861,222,0,1600,16,FulcrumInner,560.861,encoder,MB/s
Binary,3,573.134,225,1,1600,16,FulcrumInner,573.134,encoder,MB/s
Binary,3,568.889,227,2,1600,16,FulcrumInner,568.889,encoder,MB/s
Binary,3,572.363,227,3,1600,16,FulcrumInner,572.363,encoder,MB/s
Binary,3,571.35,227,4,1600,16,FulcrumInner,571.35,encoder,MB/s
Binary,4,522.092,209,0,1600,16,FulcrumInner,522.092,encoder,MB/s
Binary,4,548.463,216,1,1600,16,FulcrumInner,548.463,encoder,MB/s
Binary,4,551.471,216,2,1600,16,FulcrumInner,551.471,encoder,MB/s
Binary,4,536.527,217,3,1600,16,FulcrumInner,536.527,encoder,MB/s
Binary,4,552.152,217,4,1600,16,FulcrumInner,552.152,encoder,MB/s
Binary,1,1354.87,551,0,1600,16,FulcrumInner,1608.91,decoder,MB/s
Binary,1,1515,596,1,1600,16,FulcrumInner,1609.69,decoder,MB/s
Binary,1,1462.3,596,2,1600,16,FulcrumInner,1736.48,decoder,MB/s
Binary,1,1498.49,596,3,1600,16,FulcrumInner,1685.8,decoder,MB/s
Binary,1,1485.5,596,4,1600,16,FulcrumInner,1671.19,decoder,MB/s
Binary,2,1148.33,491,0,1600,16,FulcrumInner,1722.49,decoder,MB/s
Binary,2,1347.73,584,1,1600,16,FulcrumInner,1516.2,decoder,MB/s
Binary,2,1156.53,584,2,1600,16,FulcrumInner,1807.07,decoder,MB/s
Binary,2,1259.51,584,3,1600,16,FulcrumInner,1653.11,decoder,MB/s
Binary,2,1427.65,584,4,1600,16,FulcrumInner,1606.11,decoder,MB/s
Binary,3,1227.28,518,0,1600,16,FulcrumInner,1457.4,decoder,MB/s
Binary,3,1269.71,518,1,1600,16,FulcrumInner,1587.13,decoder,MB/s
Binary,3,1203.01,518,2,1600,16,FulcrumInner,1503.76,decoder,MB/s
Binary,3,1170.31,518,3,1600,16,FulcrumInner,1536.03,decoder,MB/s
Binary,3,1308.42,518,4,1600,16,FulcrumInner,1635.52,decoder,MB/s
Binary,4,1053.85,459,0,1600,16,FulcrumInner,1449.04,decoder,MB/s
Binary,4,1140.7,459,1,1600,16,FulcrumInner,1568.47,decoder,MB/s
Binary,4,1142.31,465,2,1600,16,FulcrumInner,1499.28,decoder,MB/s
Binary,4,1117.01,465,3,1600,16,FulcrumInner,1535.89,decoder,MB/s
Binary,4,1115.13,465,4,1600,16,FulcrumInner,1533.3,decoder,MB/s
Binary,1,656.216,130,0,1600,32,FulcrumInner,656.216,encoder,MB/s
Binary,1,677.64,133,1,1600,32,FulcrumInner,677.64,encoder,MB/s
Binary,1,678.012,134,2,1600,32,FulcrumInner,678.012,encoder,MB/s
Binary,1,658.679,134,3,1600,32,FulcrumInner,658.679,encoder,MB/s
Binary,1,665.193,134,4,1600,32,FulcrumInner,665.193,encoder,MB/s
Binary,2,617.715,123,0,1600,32,FulcrumInner,617.715,encoder,MB/s
Binary,2,652.519,129,1,1600,32,FulcrumInner,652.519,encoder,MB/s
Binary,2,651.232,129,2,1600,32,FulcrumInner,651.232,encoder,MB/s
Binary,2,651.297,129,3,1600,32,FulcrumInner,651.297,encoder,MB/s
Binary,2,642.991,129,4,1600,32,FulcrumInner,642.991,encoder,MB/s
Binary,3,588.797,116,0,1600,32,FulcrumInner,588.797,encoder,MB/s
Binary,3,611.493,122,1,1600,32,FulcrumInner,611.493,encoder,MB/s
Binary,3,621.678,123,2,1600,32,FulcrumInner,621.678,encoder,MB/s
Binary,3,612.19,123,3,1600,32,FulcrumInner,612.19,encoder,MB/s
Binary,3,627.564,123,4,1600,32,FulcrumInner,627.564,encoder,MB/s
Binary,4,582.689,114,0,1600,32,FulcrumInner,582.689,encoder,MB/s
Binary,4,587.361,118,1,1600,32,FulcrumInner,587.361,encoder,MB/s
Binary,4,595.29,118,2,1600,32,FulcrumInner,595.29,encoder,MB/s
Binary,4,595.584,118,3,1600,32,FulcrumInner,595.584,encoder,MB/s
Binary,4,591.444,118,4,1600,32,FulcrumInner,591.444,encoder,MB/s
Binary,1,838.275,180,0,1600,32,FulcrumInner,969.256,decoder,MB/s
Binary,1,874.705,191,1,1600,32,FulcrumInner,1011.38,decoder,MB/s
Binary,1,874.861,191,2,1600,32,FulcrumInner,984.219,decoder,MB/s
Binary,1,892.263,191,3,1600,32,FulcrumInner,948.029,decoder,MB/s
Binary,1,965.37,191,4,1600,32,FulcrumInner,995.538,decoder,MB/s
Binary,2,832.972,165,0,1600,32,FulcrumInner,963.124,decoder,MB/s
Binary,2,768.07,165,1,1600,32,FulcrumInner,936.085,decoder,MB/s
Binary,2,835.608,165,2,1600,32,FulcrumInner,940.059,decoder,MB/s
Binary,2,788.663,175,3,1600,32,FulcrumInner,911.892,decoder,MB/s
Binary,2,857.662,175,4,1600,32,FulcrumInner,938.068,decoder,MB/s
Binary,3,796.354,157,0,1600,32,FulcrumInner,895.899,decoder,MB/s
Binary,3,831.44,169,1,1600,32,FulcrumInner,935.37,decoder,MB/s
Binary,3,711.696,169,2,1600,32,FulcrumInner,956.342,decoder,MB/s
Binary,3,848.48,169,3,1600,32,FulcrumInner,954.54,decoder,MB/s
Binary,3,856.628,169,4,1600,32,FulcrumInner,936.937,decoder,MB/s
Binary,4,788.086,154,0,1600,32,FulcrumInner,911.224,decoder,MB/s
Binary,4,741.76,160,1,1600,32,FulcrumInner,927.2,decoder,MB/s
Binary,4,720.508,164,2,1600,32,FulcrumInner,900.635,decoder,MB/s
Binary,4,773.685,164,3,1600,32,FulcrumInner,894.573,decoder,MB/s
